"","Kecamatan","Kab.Kota","Kelas.Baik","Kelas.Rusak","Lab.Rusak.Ringan","Lab.Rusak","Perpus.Baik","Perpus.Rusak","Toilet.Guru.L.Baik","Toilet.Guru.L.Rusak","UKS.Baik","UKS.Rusak","Toilet.Guru.P.Baik","Toilet.Guru.P.Rusak","Toilet.Murid.L.Baik","Toilet.Murid.L.Rusak","Toilet.Murid.P.Baik","Toilet.Murid.P.Rusak"
"743","Kec. Cipari ","Cilacap",16,10,1,1,2,0,3,1,3,1,3,1,3,1,3,1
"744","Kec. Sidareja ","Cilacap",22,29,3,3,4,1,4,4,4,4,4,4,4,4,4,4
"745","Kec. Kedungreja ","Cilacap",31,0,0,0,3,0,3,1,3,1,3,1,3,1,3,1
"746","Kec. Patimuan ","Cilacap",15,0,3,3,1,0,2,2,2,2,2,2,2,2,2,2
"747","Kec. Gandrungmangu ","Cilacap",11,6,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"748","Kec. Bantarsari ","Cilacap",0,18,2,2,0,1,1,1,1,1,1,1,1,1,1,1
"749","Kec. Kawunganten ","Cilacap",9,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"750","Kec. Kampung Laut ","Cilacap",0,10,3,3,0,1,0,0,0,0,0,0,0,0,0,0
"751","Kec. Jeruklegi ","Cilacap",28,0,0,0,3,0,2,0,2,0,2,0,2,0,2,0
"752","Kec. Kesugihan ","Cilacap",14,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"753","Kec. Adipala ","Cilacap",18,0,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"754","Kec. Maos ","Cilacap",30,0,3,3,0,1,6,0,6,0,6,0,6,0,6,0
"755","Kec. Sampang ","Cilacap",6,27,3,3,1,1,3,5,3,5,3,5,3,5,3,5
"756","Kec. Kroya ","Cilacap",49,0,0,0,3,0,10,0,10,0,10,0,10,0,10,0
"757","Kec. Binangun ","Cilacap",0,22,3,3,0,1,2,2,2,2,2,2,2,2,2,2
"758","Kec. Cilacap Selatan ","Cilacap",64,20,3,3,3,1,6,2,6,2,6,2,6,2,6,2
"759","Kec. Cilacap Tengah ","Cilacap",54,5,0,0,3,0,5,3,5,3,5,3,5,3,5,3
"760","Kec. Cilacap Utara ","Cilacap",0,30,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"761","Kec. Moga ","Pemalang",39,0,0,0,2,0,5,1,5,1,5,1,5,1,5,1
"762","Kec. Belik ","Pemalang",30,0,0,0,2,0,3,3,3,3,3,3,3,3,3,3
"763","Kec. Bodeh ","Pemalang",20,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"764","Kec. Bantarbolang ","Pemalang",29,1,0,0,1,0,0,2,0,2,0,2,0,2,0,2
"765","Kec. Randudongkal ","Pemalang",42,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1
"766","Kec. Pemalang ","Pemalang",99,10,0,0,6,0,8,2,8,2,8,2,8,2,8,2
"767","Kec. Taman ","Pemalang",16,35,4,4,3,2,3,1,3,1,3,1,3,1,3,1
"768","Kec. Petarukan ","Pemalang",36,3,0,0,2,1,4,2,4,2,4,2,4,2,4,2
"769","Kec. Comal ","Pemalang",43,0,0,0,3,0,5,1,5,1,5,1,5,1,5,1
"770","Kec. Ulujami ","Pemalang",30,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"771","Kec. Wangon ","Banyumas",0,32,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"772","Kec. Jatilawang ","Banyumas",32,5,1,1,2,0,6,0,6,0,6,0,6,0,6,0
"773","Kec. Rawalo ","Banyumas",30,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"774","Kec. Kebasen ","Banyumas",0,22,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"775","Kec. Kemranjen ","Banyumas",18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"776","Kec. Sumpiuh ","Banyumas",4,33,3,3,1,1,0,2,0,2,0,2,0,2,0,2
"777","Kec. Tambak ","Banyumas",11,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"778","Kec. Banyumas ","Banyumas",0,36,3,3,0,2,2,2,2,2,2,2,2,2,2,2
"779","Kec. Patikraja ","Banyumas",18,13,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"780","Kec. Ajibarang ","Banyumas",41,1,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"781","Kec. Gumelar ","Banyumas",8,0,0,0,1,0,4,2,4,2,4,2,4,2,4,2
"782","Kec. Cilongok ","Banyumas",24,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"783","Kec. Karanglewas ","Banyumas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"784","Kec. Kedung Banteng ","Banyumas",39,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"785","Kec. Baturaden ","Banyumas",30,0,3,3,1,0,1,1,1,1,1,1,1,1,1,1
"786","Kec. Sokaraja ","Banyumas",66,0,0,0,6,1,10,4,10,4,10,4,10,4,10,4
"787","Kec. Purwokerto Selatan ","Banyumas",9,0,0,0,2,0,6,0,6,0,6,0,6,0,6,0
"788","Kec. Purwokerto Barat ","Banyumas",0,6,0,0,0,1,2,0,2,0,2,0,2,0,2,0
"789","Kec. Purwokerto Timur ","Banyumas",252,9,2,2,8,2,22,8,22,8,22,8,22,8,22,8
"790","Kec. Purwokerto Utara ","Banyumas",6,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"791","Kec. Kemangkon ","Purbalingga",9,3,1,1,1,0,2,0,2,0,2,0,2,0,2,0
"792","Kec. Bukateja ","Purbalingga",20,8,2,2,1,0,2,0,2,0,2,0,2,0,2,0
"793","Kec. Kejobong ","Purbalingga",16,6,1,1,0,2,1,2,1,2,1,2,1,2,1,2
"794","Kec. Purbalingga ","Purbalingga",135,2,0,0,12,0,9,1,9,1,9,1,9,1,9,1
"795","Kec. Kalimanah ","Purbalingga",6,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"796","Kec. Padamara ","Purbalingga",2,21,3,3,2,0,1,1,1,1,1,1,1,1,1,1
"797","Kec. Kutasari ","Purbalingga",18,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"798","Kec. Bobotsari ","Purbalingga",10,28,3,3,1,1,1,3,1,3,1,3,1,3,1,3
"799","Kec. Karangreja ","Purbalingga",24,1,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"800","Kec. Karanganyar ","Purbalingga",14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"801","Kec. Karangmoncol ","Purbalingga",13,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"802","Kec. Rembang ","Purbalingga",22,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"803","Kec. Kertanegara ","Purbalingga",8,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"804","Kec. Margasari ","Tegal",16,8,0,0,1,1,3,1,3,1,3,1,3,1,3,1
"805","Kec. Bojong ","Tegal",24,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"806","Kec. Balapulang ","Tegal",34,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"807","Kec. Pagerbarang ","Tegal",25,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"808","Kec. Lebaksiu ","Tegal",6,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"809","Kec. Jatinegara ","Tegal",2,11,2,2,0,1,2,2,2,2,2,2,2,2,2,2
"810","Kec. Pangkah ","Tegal",27,0,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"811","Kec. Slawi ","Tegal",90,0,1,1,5,0,11,1,11,1,11,1,11,1,11,1
"812","Kec. Dukuhwaru ","Tegal",0,27,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"813","Kec. Adiwerna ","Tegal",34,1,0,0,2,0,2,2,2,2,2,2,2,2,2,2
"814","Kec. Talang ","Tegal",3,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"815","Kec. Tarub ","Tegal",21,10,2,2,1,1,0,0,0,0,0,0,0,0,0,0
"816","Kec. Kramat ","Tegal",29,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"817","Kec. Suradadi ","Tegal",16,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"818","Kec. Warureja ","Tegal",26,1,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"819","Kec. Salem ","Brebes",13,11,3,3,1,0,2,0,2,0,2,0,2,0,2,0
"820","Kec. Bantarkawung ","Brebes",20,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"821","Kec. Bumiayu ","Brebes",72,9,6,6,5,1,8,2,8,2,8,2,8,2,8,2
"822","Kec. Paguyangan ","Brebes",20,9,0,0,1,1,2,2,2,2,2,2,2,2,2,2
"823","Kec. Sirampog ","Brebes",16,15,2,2,1,1,2,2,2,2,2,2,2,2,2,2
"824","Kec. Tonjong ","Brebes",11,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"825","Kec. Larangan ","Brebes",45,0,0,0,2,0,6,0,6,0,6,0,6,0,6,0
"826","Kec. Ketanggungan ","Brebes",25,19,1,1,2,0,3,1,3,1,3,1,3,1,3,1
"827","Kec. Banjarharjo ","Brebes",45,0,0,0,5,0,4,0,4,0,4,0,4,0,4,0
"828","Kec. Losari ","Brebes",23,0,3,3,0,1,1,1,1,1,1,1,1,1,1,1
"829","Kec. Tanjung ","Brebes",36,0,3,3,1,0,2,0,2,0,2,0,2,0,2,0
"830","Kec. Kersana ","Brebes",25,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"831","Kec. Bulakamba ","Brebes",30,17,1,1,2,1,1,3,1,3,1,3,1,3,1,3
"832","Kec. Wanasari ","Brebes",17,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"833","Kec. Songgom ","Brebes",3,0,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"834","Kec. Jatibarang ","Brebes",20,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"835","Kec. Brebes ","Brebes",113,4,0,0,4,0,6,2,6,2,6,2,6,2,6,2
"836","Kec. Wadaslintang ","Wonosobo",20,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"837","Kec. Kepil ","Wonosobo",0,9,1,1,0,1,0,2,0,2,0,2,0,2,0,2
"838","Kec. Sapuran ","Wonosobo",4,16,3,3,0,1,2,0,2,0,2,0,2,0,2,0
"839","Kec. Kaliwiro ","Wonosobo",16,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"840","Kec. Leksono ","Wonosobo",9,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"841","Kec. Selomerto ","Wonosobo",45,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"842","Kec. Kertek ","Wonosobo",18,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"843","Kec. Wonosobo ","Wonosobo",38,29,3,3,3,2,3,3,3,3,3,3,3,3,3,3
"844","Kec. Watumalang ","Wonosobo",23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"845","Kec. Mojotengah ","Wonosobo",69,0,1,1,2,0,3,2,3,2,3,2,3,2,3,2
"846","Kec. Kejajar ","Wonosobo",7,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"847","Kec. Jati ","Blora",0,6,2,2,0,1,2,0,2,0,2,0,2,0,2,0
"848","Kec. Randublatung ","Blora",52,0,0,0,6,0,8,0,8,0,8,0,8,0,8,0
"849","Kec. Kradenan ","Blora",9,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"850","Kec. Kedungtuban ","Blora",9,0,0,0,1,0,5,1,5,1,5,1,5,1,5,1
"851","Kec. Cepu ","Blora",74,9,1,1,7,1,7,5,7,5,7,5,7,5,7,5
"852","Kec. Jiken ","Blora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"853","Kec. Jepon ","Blora",19,2,0,0,1,0,3,1,3,1,3,1,3,1,3,1
"854","Kec. ","Blora",84,0,0,0,4,0,10,2,10,2,10,2,10,2,10,2
"855","Kec. Tunjungan ","Blora",32,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"856","Kec. Ngawen ","Blora",44,1,1,1,3,0,4,0,4,0,4,0,4,0,4,0
"857","Kec. Todanan ","Blora",11,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"858","Kec. Plantungan ","Kendal",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"859","Kec. Sukorejo ","Kendal",36,3,1,1,1,1,4,0,4,0,4,0,4,0,4,0
"860","Kec. Patean ","Kendal",9,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"861","Kec. Singorojo ","Kendal",0,12,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"862","Kec. Limbangan ","Kendal",20,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"863","Kec. Boja ","Kendal",44,0,0,0,3,0,5,1,5,1,5,1,5,1,5,1
"864","Kec. Kaliwungu ","Kendal",34,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"865","Kec. Brangsong ","Kendal",30,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"866","Kec. Pegandon ","Kendal",27,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"867","Kec. Gemuh ","Kendal",19,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"868","Kec. Weleri ","Kendal",42,8,0,0,4,0,6,2,6,2,6,2,6,2,6,2
"869","Kec. Rowosari ","Kendal",15,5,1,1,2,0,2,2,2,2,2,2,2,2,2,2
"870","Kec. Kangkung ","Kendal",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"871","Kec. Cepiring ","Kendal",25,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"872","Kec. Patebon ","Kendal",79,0,0,0,4,0,5,1,5,1,5,1,5,1,5,1
"873","Kec. ","Kendal",69,8,1,1,4,1,6,2,6,2,6,2,6,2,6,2
"874","Kec. Kaliwungu Selatan ","Kendal",7,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0
"875","Kec. Ayah ","Kebumen",17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"876","Kec. Petanahan ","Kebumen",6,13,3,3,0,1,1,1,1,1,1,1,1,1,1,1
"877","Kec. Klirong ","Kebumen",18,7,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"878","Kec. Buluspesantren ","Kebumen",14,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"879","Kec. Mirit ","Kebumen",7,7,4,4,0,1,0,4,0,4,0,4,0,4,0,4
"880","Kec. Prembun ","Kebumen",33,3,1,1,3,0,6,0,6,0,6,0,6,0,6,0
"881","Kec. Kutowinangun ","Kebumen",32,3,1,1,2,0,4,0,4,0,4,0,4,0,4,0
"882","Kec. Kebumen ","Kebumen",85,12,2,2,7,1,4,2,4,2,4,2,4,2,4,2
"883","Kec. Pejagoan ","Kebumen",27,0,0,0,1,0,3,3,3,3,3,3,3,3,3,3
"884","Kec. Sruweng ","Kebumen",3,0,0,0,1,0,3,1,3,1,3,1,3,1,3,1
"885","Kec. Rowokele ","Kebumen",29,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"886","Kec. Gombong ","Kebumen",67,7,2,2,5,1,12,3,12,3,12,3,12,3,12,3
"887","Kec. Karanganyar ","Kebumen",21,3,1,1,0,1,2,0,2,0,2,0,2,0,2,0
"888","Kec. Karangsambung ","Kebumen",4,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"889","Kec. Pracimantoro ","Wonogiri",18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"890","Kec. Paranggupito ","Wonogiri",1,4,0,0,0,1,0,2,0,2,0,2,0,2,0,2
"891","Kec. Giriwoyo ","Wonogiri",0,9,1,1,0,1,0,4,0,4,0,4,0,4,0,4
"892","Kec. Tirtomoyo ","Wonogiri",8,0,0,0,1,0,6,0,6,0,6,0,6,0,6,0
"893","Kec. Nguntoronadi ","Wonogiri",10,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"894","Kec. Baturetno ","Wonogiri",35,0,0,0,3,0,2,2,2,2,2,2,2,2,2,2
"895","Kec. Wuryantoro ","Wonogiri",28,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"896","Kec. Manyaran ","Wonogiri",18,7,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"897","Kec. Wonogiri ","Wonogiri",119,5,0,0,7,0,6,1,6,1,6,1,6,1,6,1
"898","Kec. Sidoharjo ","Wonogiri",0,12,3,3,0,1,1,1,1,1,1,1,1,1,1,1
"899","Kec. Purwantoro ","Wonogiri",25,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"900","Kec. Slogohimo ","Wonogiri",26,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"901","Kec. Jatisrono ","Wonogiri",0,24,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"902","Kec. Girimarto ","Wonogiri",18,0,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"903","Kec. Jumapolo ","Karanganyar",31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"904","Kec. Jumantono ","Karanganyar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"905","Kec. Karangpandan ","Karanganyar",35,2,4,4,1,1,5,3,5,3,5,3,5,3,5,3
"906","Kec. Karanganyar ","Karanganyar",114,0,0,0,5,0,9,1,9,1,9,1,9,1,9,1
"907","Kec. Jaten ","Karanganyar",1,5,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"908","Kec. Colomadu ","Karanganyar",27,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2
"909","Kec. Gondangrejo ","Karanganyar",29,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2
"910","Kec. Kebakkramat ","Karanganyar",30,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"911","Kec. Mojogedang ","Karanganyar",26,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"912","Kec. Kerjo ","Karanganyar",23,0,0,0,1,0,0,2,0,2,0,2,0,2,0,2
"913","Kec. Jenawi ","Karanganyar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"914","Kec. Kedung ","Jepara",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"915","Kec. Pecangaan ","Jepara",11,33,4,4,1,1,2,2,2,2,2,2,2,2,2,2
"916","Kec. Welahan ","Jepara",26,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"917","Kec. Mayong ","Jepara",32,13,5,5,3,1,4,2,4,2,4,2,4,2,4,2
"918","Kec. Nalumsari ","Jepara",22,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"919","Kec. Batealit ","Jepara",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"920","Kec. Tahunan ","Jepara",43,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"921","Kec. Jepara ","Jepara",56,5,2,2,4,1,6,2,6,2,6,2,6,2,6,2
"922","Kec. Mlonggo ","Jepara",20,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"923","Kec. Bangsri ","Jepara",50,0,0,0,3,0,4,0,4,0,4,0,4,0,4,0
"924","Kec. Keling ","Jepara",7,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0
"925","Kec. Kalinyamatan ","Jepara",18,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"926","Kec. Kembang ","Jepara",24,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"927","Kec. Donorojo ","Jepara",17,4,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"928","Kec. Mranggen ","Demak",71,42,6,6,7,1,5,5,5,5,5,5,5,5,5,5
"929","Kec. Karangawen ","Demak",21,4,0,0,2,1,2,0,2,0,2,0,2,0,2,0
"930","Kec. Guntur ","Demak",21,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"931","Kec. Sayung ","Demak",18,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"932","Kec. Karang Tengah ","Demak",41,0,0,0,3,0,4,2,4,2,4,2,4,2,4,2
"933","Kec. Bonang ","Demak",18,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"934","Kec. Demak ","Demak",110,15,4,4,7,1,12,2,12,2,12,2,12,2,12,2
"935","Kec. Wonosalam ","Demak",21,12,0,0,2,1,3,1,3,1,3,1,3,1,3,1
"936","Kec. Dempet ","Demak",36,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"937","Kec. Gajah ","Demak",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"938","Kec. Karanganyar ","Demak",20,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"939","Kec. Mijen ","Demak",30,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"940","Kec. Wedung ","Demak",32,3,0,0,4,0,7,1,7,1,7,1,7,1,7,1
"941","Kec. Grabag ","Purworejo",21,0,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"942","Kec. Purwodadi ","Purworejo",27,9,3,3,3,1,6,2,6,2,6,2,6,2,6,2
"943","Kec. Kaligesing ","Purworejo",0,3,0,0,1,0,0,2,0,2,0,2,0,2,0,2
"944","Kec. Purworejo ","Purworejo",92,2,2,2,6,0,10,2,10,2,10,2,10,2,10,2
"945","Kec. Banyu Urip ","Purworejo",17,4,0,0,0,1,2,0,2,0,2,0,2,0,2,0
"946","Kec. Bayan ","Purworejo",14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"947","Kec. Kutoarjo ","Purworejo",39,5,1,1,4,0,9,1,9,1,9,1,9,1,9,1
"948","Kec. Butuh ","Purworejo",15,0,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"949","Kec. Pituruh ","Purworejo",43,0,1,1,3,0,5,1,5,1,5,1,5,1,5,1
"950","Kec. Kemiri ","Purworejo",22,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"951","Kec. Bruno ","Purworejo",14,0,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"952","Kec. Gebang ","Purworejo",3,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"953","Kec. Loano ","Purworejo",28,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"954","Kec. Kalijambe ","Sragen",16,0,0,0,3,0,3,1,3,1,3,1,3,1,3,1
"955","Kec. Plupuh ","Sragen",12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"956","Kec. Masaran ","Sragen",3,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"957","Kec. Sambirejo ","Sragen",5,14,3,3,1,1,0,0,0,0,0,0,0,0,0,0
"958","Kec. Gondang ","Sragen",32,0,0,0,3,0,4,0,4,0,4,0,4,0,4,0
"959","Kec. Sambung Macan ","Sragen",25,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"960","Kec. Karangmalang ","Sragen",37,16,6,6,2,2,2,4,2,4,2,4,2,4,2,4
"961","Kec. Sragen ","Sragen",86,42,6,6,4,1,6,4,6,4,6,4,6,4,6,4
"962","Kec. Gemolong ","Sragen",49,2,0,0,3,0,6,1,6,1,6,1,6,1,6,1
"963","Kec. Sumberlawang ","Sragen",27,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"964","Kec. Sukodono ","Sragen",24,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"965","Kec. Tangen ","Sragen",13,6,3,3,0,1,2,0,2,0,2,0,2,0,2,0
"966","Kec. Kedungjati ","Grobogan",3,4,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"967","Kec. Karangrayung ","Grobogan",18,21,1,1,1,1,1,2,1,2,1,2,1,2,1,2
"968","Kec. Penawangan ","Grobogan",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"969","Kec. Toroh ","Grobogan",32,3,0,0,1,1,2,0,2,0,2,0,2,0,2,0
"970","Kec. Geyer ","Grobogan",3,20,3,3,1,2,2,0,2,0,2,0,2,0,2,0
"971","Kec. Pulokulon ","Grobogan",37,1,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"972","Kec. Kradenan ","Grobogan",41,0,0,0,3,0,2,2,2,2,2,2,2,2,2,2
"973","Kec. Gabus ","Grobogan",12,10,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"974","Kec. Wirosari ","Grobogan",6,53,7,7,2,3,4,3,4,3,4,3,4,3,4,3
"975","Kec. Tawangharjo ","Grobogan",0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"976","Kec. Grobogan ","Grobogan",27,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"977","Kec. Purwodadi ","Grobogan",87,9,3,3,5,1,6,4,6,4,6,4,6,4,6,4
"978","Kec. Godong ","Grobogan",47,0,0,0,4,0,4,4,4,4,4,4,4,4,4,4
"979","Kec. Gubug ","Grobogan",77,4,0,0,5,0,3,1,3,1,3,1,3,1,3,1
"980","Kec. Tanggungharjo ","Grobogan",12,8,3,3,1,1,1,3,1,3,1,3,1,3,1,3
"981","Kec. Getasan ","Semarang",16,10,2,2,2,0,0,4,0,4,0,4,0,4,0,4
"982","Kec. Tengaran ","Semarang",29,6,0,0,2,0,6,0,6,0,6,0,6,0,6,0
"983","Kec. Susukan ","Semarang",17,14,4,4,3,2,3,5,3,5,3,5,3,5,3,5
"984","Kec. Suruh ","Semarang",1,14,3,3,0,1,4,0,4,0,4,0,4,0,4,0
"985","Kec. Pabelan ","Semarang",12,6,0,0,1,0,0,2,0,2,0,2,0,2,0,2
"986","Kec. Tuntang ","Semarang",25,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2
"987","Kec. Banyubiru ","Semarang",18,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"988","Kec. Jambu ","Semarang",0,15,0,0,1,0,1,3,1,3,1,3,1,3,1,3
"989","Kec. Sumowono ","Semarang",7,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"990","Kec. Ambarawa ","Semarang",72,0,0,0,4,0,8,0,8,0,8,0,8,0,8,0
"991","Kec. Bawen ","Semarang",13,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"992","Kec. Bringin ","Semarang",0,30,4,4,0,2,6,6,6,6,6,6,6,6,6,6
"993","Kec. Bergas ","Semarang",30,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"994","Kec. Kaliwungu ","Semarang",3,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"995","Kec. Ungaran Barat ","Semarang",3,34,5,5,1,1,2,2,2,2,2,2,2,2,2,2
"996","Kec. Ungaran Timur ","Semarang",34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"997","Kec. Bandungan ","Semarang",14,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"998","Kec. Parakan ","Temanggung",12,15,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"999","Kec. Temanggung ","Temanggung",79,29,3,3,4,3,6,6,6,6,6,6,6,6,6,6
"1000","Kec. Tembarak ","Temanggung",12,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"1001","Kec. Pringsurat ","Temanggung",19,0,0,0,1,0,3,1,3,1,3,1,3,1,3,1
"1002","Kec. Kaloran ","Temanggung",14,0,0,0,3,0,2,0,2,0,2,0,2,0,2,0
"1003","Kec. Kandangan ","Temanggung",0,6,1,1,0,1,0,2,0,2,0,2,0,2,0,2
"1004","Kec. Kedu ","Temanggung",6,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"1005","Kec. Candiroto ","Temanggung",24,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"1006","Kec. Srandakan ","Bantul",12,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"1007","Kec. Sanden ","Bantul",18,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
