wilayah_id;kode_wilayah;nama;id_level_wilayah;mst_kode_wilayah
85af4f67-0ce2-446a-b9d8-e798867109c9;51917;Kec. Kraton                   ;3;51900
6c716211-d2e6-47e0-9c5a-ebdc06aa0919;51918;Kec. Pohjentrek               ;3;51900
ade42f56-e59f-4cc6-9202-1eaa6e60432f;51919;Kec. Gondang Wetan            ;3;51900
98005751-b13a-4763-8715-8f093fd9f04f;51920;Kec. Rejoso                   ;3;51900
6e00dbcd-4a90-41df-af32-1ff0fe6b683e;51921;Kec. Winongan                 ;3;51900
7e4fe590-5a12-4d9e-8865-a6bfc36242a4;51922;Kec. Grati                    ;3;51900
aea8065f-72ad-4489-824d-8c2dd7fb7a78;51923;Kec. Lekok                    ;3;51900
c6601752-9384-42ad-ac00-38f9d6f7a499;51924;Kec. Nguling                  ;3;51900
c3da8a8b-9af3-46ad-8334-c0eb078f0265;52000;Kab. Probolinggo              ;2;50000
f63cf436-276d-4376-99dd-3b5295f3b572;52001;Kec. Sukapura                 ;3;52000
68859e42-9954-46ec-8142-2f0ef371d32f;52002;Kec. Sumber                   ;3;52000
f020b8ee-d6a0-4588-a80c-cc72a0505808;52003;Kec. Kuripan                  ;3;52000
6ab4430e-8fbd-42c2-96a6-3a1dc66d9969;52004;Kec. Bantaran                 ;3;52000
e2d0ccd2-04b2-4177-9a17-fee99f745481;52005;Kec. Leces                    ;3;52000
45497e52-1a6d-406f-9754-0aa2c7960afc;52006;Kec. Tegal Siwalan            ;3;52000
80ffc1c2-3017-42f3-ab2e-f7733de37a2b;52007;Kec. Banyu Anyar              ;3;52000
1604fc1e-61be-4c46-ae10-8ed14f59814a;52008;Kec. Tiris                    ;3;52000
693bf885-8bd7-42c0-8b33-3363a1c5890f;52009;Kec. Krucil                   ;3;52000
cc12b77a-196c-459b-9c65-ff3805bdeef2;52010;Kec. Gading                   ;3;52000
3a2a4191-68b4-4c05-9fa3-a8d4a5f51894;52011;Kec. Pakuniran                ;3;52000
b0580f4c-f886-4a6b-a18b-7b81873aaad7;52012;Kec. Kota Anyar               ;3;52000
831832bf-6f9d-48d4-8b60-6eb1493a0b49;52013;Kec. Paiton                   ;3;52000
426af847-f351-4040-93b8-b28837883085;52014;Kec. Besuk                    ;3;52000
69e1cfb3-c5f0-4ec8-9042-d7364915fde0;52015;Kec. Kraksaan                 ;3;52000
ca47ce9e-8414-49f1-a210-9fb2ec9a133c;52016;Kec. Krejengan                ;3;52000
a10e09a6-c30d-431b-a8cc-1a927b6a2834;52017;Kec. Pajarakan                ;3;52000
1f933916-3607-4fc4-b519-fa6284473176;52018;Kec. Maron                    ;3;52000
575fa03b-da32-48fb-937a-5f463e1eee07;52019;Kec. Gending                  ;3;52000
e7741d05-6e49-4771-bf4f-295e304353c9;52020;Kec. Dringu                   ;3;52000
31701940-4f1a-43c7-a517-857e350df91d;52021;Kec. Wonomerto                ;3;52000
03cb16dc-7c97-4214-a61d-a927faeb7dda;52022;Kec. Lumbang                  ;3;52000
95e8e314-3759-4fc4-a4f5-42f98b2482dd;52023;Kec. Tongas                   ;3;52000
2711da99-aabc-48d6-9b11-c09fe4702c85;52024;Kec. Sumberasih               ;3;52000
6488c046-8164-43f2-8b60-dd7314b1ab8e;52100;Kab. Lumajang                 ;2;50000
6e4dfc2b-1652-4026-9ef4-323fa87f4587;52101;Kec. Tempursari               ;3;52100
77ac1f86-ed31-45c3-9702-0114ce3254b6;52102;Kec. Pronojiwo                ;3;52100
0c547717-9a03-4bc1-aa73-e81b5f3a856e;52103;Kec. Candipuro                ;3;52100
3596a082-8603-4a1a-844c-a22b35499bd4;52104;Kec. Pasirian                 ;3;52100
33d99f64-9419-4e07-98fa-5796b500b303;52105;Kec. Tempeh                   ;3;52100
fd1668fc-268b-4743-aaed-b71ba0ecd7f9;52106;Kec. Kunir                    ;3;52100
869be466-ac75-4d36-8ba9-a245f23bc474;52107;Kec. Yosowilangun             ;3;52100
a6f5bc16-1a43-41dc-b105-22c46bd08156;52108;Kec. Rowokangkung             ;3;52100
00a6d97a-0735-4470-afee-f72b2c2b9242;52109;Kec. Tekung                   ;3;52100
14653e1f-a936-4b1e-9c7b-255b921cdd12;52110;Kec. Lumajang                 ;3;52100
4caadec7-ecf5-42be-ba8f-f00487d69029;52111;Kec. Pasrujambe               ;3;52100
03df5428-7fae-468b-acca-14d5af2bd1df;52112;Kec. Senduro                  ;3;52100
ba2892a1-065e-4b20-8ee6-60ba73fe0214;52113;Kec. Padang                   ;3;52100
aedc5aa8-1424-40ea-bd5b-87d7b55e6988;52114;Kec. Sukodono                 ;3;52100
4d45191a-699c-4554-8a17-8c4077988656;52115;Kec. Jatiroto                 ;3;52100
c469ffb7-608e-4ca0-9058-dc980e452f2b;52116;Kec. Randuagung               ;3;52100
e7568313-892e-4514-b9c9-c0b6c3d3a195;52117;Kec. Kedungjajang             ;3;52100
6c48be2e-dd05-4b3d-a9a8-b932eda66705;52118;Kec. Gucialit                 ;3;52100
91b5d22d-5311-40d8-984c-50d635b3d5ce;52119;Kec. Klakah                   ;3;52100
0b1e3482-2d5d-48f8-9c48-6706af7edad6;52120;Kec. Ranuyoso                 ;3;52100
0a9bd33c-2042-4bb7-ad9e-c00cc7e1bd68;52121;Kec. Sumbersuko               ;3;52100
32e9f9ca-bbc8-4bf6-ab2d-87e81571c86e;52200;Kab. Bondowoso                ;2;50000
16092497-0da5-42aa-b83b-a1ed4c26f542;52201;Kec. Maesan                   ;3;52200
1431530f-9c65-4130-b0c2-6cb0cdf65a2c;52202;Kec. Grujugan                 ;3;52200
c2ba3527-b031-4978-8d37-50b7ab07c9f5;52203;Kec. Tamanan                  ;3;52200
c620b4d0-1dda-4d0b-bd69-8186c737c92a;52204;Kec. Pujer                    ;3;52200
8a12558b-12a6-4401-b811-209ced256e29;52205;Kec. Tlogosari                ;3;52200
a19d2688-6ac0-489a-a44f-e23de3d48533;52206;Kec. Sukosari                 ;3;52200
