"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","UKS.RusakPerc","Perpus.RusakPerc","Toilet.RusakPerc"
"80","Kec. Jamblang ","Cirebon","Jambi",0.23,0.33,0.5,0,1
"81","Kec. ","Bogor","Jawa Barat",0.16,0,0.17,0,0.19
"82","Kec. ","Bogor","Jawa Barat",0.09,0,0.05,0,0.08
"83","Kec. ","Bogor","Jawa Barat",0.01,0.18,0,0,0
"84","Kec. ","Bogor","Jawa Barat",0.14,0.11,0.07,0,0.11
"85","Kec. ","Bogor","Jawa Barat",0.14,0.12,0.12,0.09,0.19
"86","Kec. Tanah Sareal ","Bogor","Jawa Barat",0.16,0.14,0.37,0.33,0.5
"87","Kec. Citamiang ","Sukabumi","Jawa Barat",0.3,0.33,0.5,0,0.5
"88","Kec. Gunung Puyuh ","Sukabumi","Jawa Barat",0,0.09,0.09,0,0.12
"89","Kec. Cikole ","Sukabumi","Jawa Barat",0,0,0.14,0,0.17
"90","Kec. Cibeureum ","Sukabumi","Jawa Barat",0,0,0.2,0,0.5
"91","Kec. Harjamukti ","Cirebon","Jambi",0,0,0.14,0,0.25
"92","Kec. Lemahwungkuk ","Cirebon","Jambi",0,0,0.09,0,0.1
"93","Kec. Kesambi ","Cirebon","Jambi",0.19,0.16,0.18,0.2,0.29
"94","Kec. Kejaksan ","Cirebon","Jambi",0,0,0.18,0,0.25
"95","Kec. Pondokgede ","Bekasi","Jawa Barat",0.05,0,0.28,0,0.31
"96","Kec. Jatiasih ","Bekasi","Jawa Barat",0,0,0.17,0.08,0.29
"97","Kec. Bantargebang ","Bekasi","Jawa Barat",0.71,0.75,0,0.33,0
"98","Kec. Bekasi Timur ","Bekasi","Jawa Barat",0.1,0.2,0.28,0.07,0.46
"99","Kec. Bekasi Selatan ","Bekasi","Jawa Barat",0.08,0.03,0.09,0,0.1
"100","Kec. Bekasi Barat ","Bekasi","Jawa Barat",0.02,0,0.12,0,0.25
"101","Kec. Bekasi Utara ","Bekasi","Jawa Barat",0.01,0,0.09,0,0.15
"102","Kec. Jati Sampurna ","Bekasi","Jawa Barat",0.05,0.17,0.17,0.17,0.25
"103","Kec. Medan Satria ","Bekasi","Jawa Barat",0.13,0.23,0.2,0.18,0.33
"104","Kec. Rawalumbu ","Bekasi","Jawa Barat",0.23,0.15,0.19,0.1,0.31
"105","Kec. Mustika Jaya ","Bekasi","Jawa Barat",0,0,0,0.14,0
"106","Kec. Pondok Melati ","Bekasi","Jawa Barat",0.05,0,0.18,0,0.25
"107","Kec. Sawangan ","Depok","Jawa Barat",0.04,0.17,0.44,0.2,0.4
"108","Kec. Pancoran Mas ","Depok","Jawa Barat",0.12,0.12,0.14,0.12,0.3
"109","Kec. Sukmajaya ","Depok","Jawa Barat",0.03,0.18,0.14,0.1,0.19
"110","Kec. Cimanggis ","Depok","Jawa Barat",0.11,0.07,0,0.12,0
"111","Kec. Beji ","Depok","Jawa Barat",0.25,0.8,0.75,0.5,0.5
"112","Kec. Limo ","Depok","Jawa Barat",0.73,0.6,0,0.33,0
"113","Kec. Cilodong ","Depok","Jawa Barat",0.47,0.12,0.36,0.17,0.4
"114","Kec. Tapos ","Depok","Jawa Barat",0,0,0.08,0,0.12
"115","Kec. Bojongsari ","Depok","Jawa Barat",0.4,0.14,0.14,0.25,0.25
"116","Kec. Talegong ","Garut","Jawa Barat",0.04,0,0,0,0
"117","Kec. Cisewu ","Garut","Jawa Barat",0.1,0,0,0,0
"118","Kec. Bungbulang ","Garut","Jawa Barat",0.05,0,0.5,0,0.5
"119","Kec. Pakenjeng ","Garut","Jawa Barat",0.19,0,0,0,0
"120","Kec. Cikelet ","Garut","Jawa Barat",0,0,0.5,0,0.5
"121","Kec. Pameungpeuk ","Garut","Jawa Barat",0.07,0,0,0.25,0
"122","Kec. Cibalong ","Garut","Jawa Barat",0.34,0.5,0.33,0.2,0.5
"123","Kec. Cisompet ","Garut","Jawa Barat",0.47,0.33,0,0.33,0
"124","Kec. Peundeuy ","Garut","Jawa Barat",0.78,0,0,0,0
"125","Kec. Cikajang ","Garut","Jawa Barat",0.06,0.25,0.57,0.33,0.4
"126","Kec. Banjarwangi ","Garut","Jawa Barat",0.29,0,0,0.5,0
"127","Kec. Bayongbong ","Garut","Jawa Barat",0.82,1,1,1,1
"128","Kec. Samarang ","Garut","Jawa Barat",0.02,0,0,0,0
