"","Kecamatan","Kab.Kota","Provinsi","Kelas.Baik","Kelas.Rusak","Lab.Baik","Lab.Rusak","Perpus.Baik","Perpus.Rusak","UKS.Baik","UKS.Rusak","Toilet.Baik","Toilet.Rusak"
"1683","Kec. Lueser ","Aceh Tenggara","Maluku",3,1,1,0,0,1,0,0,0,0
"1684","Kec. Simpang Kiri ","Subulussalam","Nanggroe Aceh Darussalam (NAD)",37,36,5,2,3,3,5,5,20,20
"1685","Kec. Penanggalan ","Subulussalam","Nanggroe Aceh Darussalam (NAD)",13,0,2,0,1,0,0,0,0,0
"1686","Kec. Rundeng ","Subulussalam","Nanggroe Aceh Darussalam (NAD)",16,3,1,0,2,0,0,0,0,0
"1687","Kec. Sultan Daulat ","Subulussalam","Nanggroe Aceh Darussalam (NAD)",17,0,2,0,2,0,2,0,8,0
"1688","Kec. Longkib ","Subulussalam","Nanggroe Aceh Darussalam (NAD)",11,2,1,0,0,0,0,0,0,0
"1689","Kec. Lhoong ","Aceh Besar","Maluku",6,6,1,3,0,1,0,0,0,0
"1690","Kec. Lhoknga ","Aceh Besar","Maluku",14,0,3,0,2,0,1,1,4,4
"1691","Kec. Indrapuri ","Aceh Besar","Maluku",30,0,9,0,3,0,4,2,16,8
"1692","Kec. Seulimeum ","Aceh Besar","Maluku",41,3,9,0,4,0,3,1,12,4
"1693","Kec. Mesjid Raya ","Aceh Besar","Maluku",12,0,2,0,1,0,0,0,0,0
"1694","Kec. Darussalam ","Aceh Besar","Maluku",7,0,1,0,1,0,1,1,4,4
"1695","Kec. Kuta Baro ","Aceh Besar","Maluku",32,0,9,4,5,0,5,0,20,0
"1696","Kec. Montasik ","Aceh Besar","Maluku",21,5,4,2,2,1,2,2,8,8
"1697","Kec. Ingin Jaya ","Aceh Besar","Maluku",59,0,7,0,6,0,11,1,44,4
"1698","Kec. Suka Makmur ","Aceh Besar","Maluku",1,19,0,3,1,0,2,0,8,0
"1699","Kec. Darul Imarah ","Aceh Besar","Maluku",34,0,7,0,6,0,9,1,36,4
"1700","Kec. Peukan Bada ","Aceh Besar","Maluku",20,0,3,0,1,0,4,0,16,0
"1701","Kec. Pulo Aceh ","Aceh Besar","Maluku",9,0,1,3,2,0,2,0,8,0
"1702","Kec. Leupung ","Aceh Besar","Maluku",6,0,3,0,1,0,0,0,0,0
"1703","Kec. Kuta Malaka ","Aceh Besar","Maluku",12,0,2,0,4,0,4,0,16,0
"1704","Kec. Lembah Seulawah ","Aceh Besar","Maluku",9,0,2,0,1,0,2,0,8,0
"1705","Kec. ","Aceh Besar","Maluku",0,9,0,2,0,1,0,2,0,8
"1706","Kec. Baitussalam ","Aceh Besar","Maluku",5,9,1,1,0,1,0,2,0,8
"1707","Kec. Krung Barona Jaya ","Aceh Besar","Maluku",29,0,3,0,3,0,1,1,4,4
"1708","Kec. Simpang Tiga ","Aceh Besar","Maluku",5,0,4,0,1,0,4,0,16,0
"1709","Kec. Kuta Cot Glie ","Aceh Besar","Maluku",0,10,2,1,0,1,0,2,0,8
"1710","Kec. Blang Bintang ","Aceh Besar","Maluku",29,0,3,0,3,0,6,0,24,0
"1711","Kec. Birem Bayeun ","Aceh Timur","Maluku",38,5,7,0,4,0,2,0,8,0
"1712","Kec. Rantau Selamat ","Aceh Timur","Maluku",40,0,4,0,2,0,1,1,4,4
"1713","Kec. Peureulak ","Aceh Timur","Maluku",3,28,1,3,1,1,4,0,16,0
"1714","Kec. Ranto Peureulak ","Aceh Timur","Maluku",2,19,0,2,0,1,0,2,0,8
"1715","Kec. Idi Rayeuk ","Aceh Timur","Maluku",39,4,12,0,4,0,1,1,4,4
"1716","Kec. Darul Aman ","Aceh Timur","Maluku",12,6,0,3,1,0,2,0,8,0
"1717","Kec. Nurussalam ","Aceh Timur","Maluku",12,0,3,0,2,0,0,0,0,0
"1718","Kec. Julok ","Aceh Timur","Maluku",30,0,3,0,1,0,0,0,0,0
"1719","Kec. Pante Beudari ","Aceh Timur","Maluku",1,13,0,4,0,2,0,2,0,8
"1720","Kec. Simpang Ulim ","Aceh Timur","Maluku",24,0,3,0,1,0,1,1,4,4
"1721","Kec. Sungai Raya ","Aceh Timur","Maluku",10,0,1,0,1,0,2,0,8,0
"1722","Kec. Peureulak Barat ","Aceh Timur","Maluku",7,0,1,0,1,0,0,0,0,0
"1723","Kec. Banda Alam ","Aceh Timur","Maluku",5,9,1,0,2,0,2,0,8,0
"1724","Kec. Idi Tunong ","Aceh Timur","Maluku",0,13,0,2,0,1,2,0,8,0
"1725","Kec. Peudawa ","Aceh Timur","Maluku",12,0,3,0,1,0,0,0,0,0
"1726","Kec. Indra Makmur ","Aceh Timur","Maluku",0,23,0,2,0,2,0,0,0,0
"1727","Kec. Madat ","Aceh Timur","Maluku",15,0,2,0,2,0,0,0,0,0
"1728","Kec. Darul Ihsan ","Aceh Timur","Maluku",7,0,3,0,1,0,2,0,8,0
"1729","Kec. Peunaron ","Aceh Timur","Maluku",17,0,3,0,1,0,1,1,4,4
"1730","Kec. Darul Falah ","Aceh Timur","Maluku",6,0,1,0,1,0,0,0,0,0
"1731","Kec. Samalanga ","Bireuen","Maluku Utara",68,17,6,0,4,1,2,2,8,8
"1732","Kec. Pandrah ","Bireuen","Maluku Utara",12,0,2,0,1,0,0,0,0,0
"1733","Kec. Jeunib ","Bireuen","Maluku Utara",9,9,2,4,1,1,0,1,0,4
"1734","Kec. Peudada ","Bireuen","Maluku Utara",23,0,4,0,1,0,0,0,0,0
"1735","Kec. Juli ","Bireuen","Maluku Utara",19,0,2,0,1,0,0,0,0,0
"1736","Kec. Jeumpa ","Bireuen","Maluku Utara",20,0,5,0,2,0,4,0,16,0
"1737","Kec. Jangka ","Bireuen","Maluku Utara",15,0,3,0,1,0,0,0,0,0
"1738","Kec. Peusangan ","Bireuen","Maluku Utara",52,25,8,1,3,3,3,1,12,4
"1739","Kec. Makmur ","Bireuen","Maluku Utara",4,10,1,1,1,1,0,0,0,0
"1740","Kec. Ganda Pura ","Bireuen","Maluku Utara",23,0,3,0,1,0,2,0,8,0
"1741","Kec. Simpang Mamplam ","Bireuen","Maluku Utara",36,3,3,0,5,0,2,0,8,0
"1742","Kec. Peulimbang ","Bireuen","Maluku Utara",12,0,4,0,1,0,0,0,0,0
"1743","Kec. ","Bireuen","Maluku Utara",86,39,6,3,2,1,2,2,8,8
"1744","Kec. Kuala ","Bireuen","Maluku Utara",0,21,0,1,0,1,0,0,0,0
"1745","Kec. Peusangan Selatan ","Bireuen","Maluku Utara",10,0,3,0,1,0,0,0,0,0
"1746","Kec. Peusangan Siblah Krueng ","Bireuen","Maluku Utara",10,0,3,0,1,0,0,0,0,0
"1747","Kec. Kuta Blang ","Bireuen","Maluku Utara",7,14,5,0,1,1,0,0,0,0
"1748","Kec. Geumpang ","Pidie","Maluku Utara",0,15,0,1,0,1,0,0,0,0
"1749","Kec. Glumpang Tiga ","Pidie","Maluku Utara",43,0,5,0,2,0,3,1,12,4
"1750","Kec. Mutiara ","Pidie","Maluku Utara",7,0,1,0,1,0,0,0,0,0
"1751","Kec. Tangse ","Pidie","Maluku Utara",0,19,0,2,0,1,0,0,0,0
"1752","Kec. Sakti ","Pidie","Maluku Utara",34,0,4,0,1,0,2,0,8,0
"1753","Kec. Mila ","Pidie","Maluku Utara",16,0,2,0,2,0,0,0,0,0
"1754","Kec. Padang Tiji ","Pidie","Maluku Utara",20,0,4,0,1,0,1,1,4,4
"1755","Kec. Delima ","Pidie","Maluku Utara",8,0,2,0,1,0,4,0,16,0
"1756","Kec. Indrajaya ","Pidie","Maluku Utara",39,0,9,0,3,0,3,1,12,4
"1757","Kec. Peukan Baro ","Pidie","Maluku Utara",32,0,5,0,2,0,2,0,8,0
"1758","Kec. Kembang Tanjung ","Pidie","Maluku Utara",35,0,3,0,1,0,0,0,0,0
"1759","Kec. Simpang Tiga ","Pidie","Maluku Utara",19,0,6,0,2,0,0,0,0,0
"1760","Kec. ","Pidie","Maluku Utara",45,23,7,2,3,1,3,1,12,4
"1761","Kec. Pidie ","Pidie","Maluku Utara",32,10,7,0,4,0,7,1,28,4
"1762","Kec. Muara Tiga ","Pidie","Maluku Utara",24,0,3,0,1,0,0,0,0,0
"1763","Kec. Grong-Grong ","Pidie","Maluku Utara",17,1,2,0,1,0,1,1,4,4
"1764","Kec. Mutiara Timur ","Pidie","Maluku Utara",45,0,4,0,2,0,2,0,8,0
"1765","Kec. Glumpang Baro ","Pidie","Maluku Utara",8,11,2,1,1,1,0,0,0,0
"1766","Kec. Keumala ","Pidie","Maluku Utara",12,0,2,0,1,0,4,0,16,0
"1767","Kec. Linge ","Aceh Tengah","Maluku",8,0,5,0,2,0,0,0,0,0
"1768","Kec. Bintang ","Aceh Tengah","Maluku",19,0,3,0,1,0,0,0,0,0
"1769","Kec. Pegasing ","Aceh Tengah","Maluku",22,23,4,3,1,1,0,0,0,0
"1770","Kec. Bebesen ","Aceh Tengah","Maluku",36,6,2,1,3,0,0,0,0,0
"1771","Kec. Silih Nara ","Aceh Tengah","Maluku",0,9,0,2,0,2,0,0,0,0
"1772","Kec. Kute Panang ","Aceh Tengah","Maluku",7,1,0,1,0,1,0,0,0,0
"1773","Kec. Ketol ","Aceh Tengah","Maluku",0,9,1,1,0,1,0,0,0,0
"1774","Kec. Celala ","Aceh Tengah","Maluku",0,6,1,2,0,1,0,0,0,0
"1775","Kec. Kebayakan ","Aceh Tengah","Maluku",44,11,5,1,4,2,2,2,8,8
"1776","Kec. Laut Tawar ","Aceh Tengah","Maluku",14,0,1,0,1,0,0,0,0,0
"1777","Kec. Atu Lintang ","Aceh Tengah","Maluku",0,14,0,3,0,1,0,2,0,8
"1778","Kec. Jagong Jeget ","Aceh Tengah","Maluku",12,0,3,0,1,0,0,0,0,0
"1779","Kec. Bies ","Aceh Tengah","Maluku",6,0,0,1,1,0,0,0,0,0
"1780","Kec. Rusip Antara ","Aceh Tengah","Maluku",11,6,2,0,3,1,0,0,0,0
"1781","Kec. Timang Gajah ","Bener Meriah","Maluku Utara",39,0,6,0,2,0,1,1,4,4
"1782","Kec. Bukit ","Bener Meriah","Maluku Utara",58,0,4,1,4,0,6,0,24,0
"1783","Kec. Bandar ","Bener Meriah","Maluku Utara",38,3,7,0,3,0,5,1,20,4
"1784","Kec. Permata ","Bener Meriah","Maluku Utara",27,2,5,0,2,0,2,0,8,0
"1785","Kec. Pintu Rime Gayo ","Bener Meriah","Maluku Utara",20,0,3,0,2,0,0,0,0,0
"1786","Kec. Wih Pesam ","Bener Meriah","Maluku Utara",19,0,3,0,3,0,2,0,8,0
"1787","Kec. Syiah Utama ","Bener Meriah","Maluku Utara",6,0,1,0,0,0,0,0,0,0
"1788","Kec. Bener Kelipah ","Bener Meriah","Maluku Utara",6,0,0,0,1,0,0,0,0,0
"1789","Kec. Mesidah ","Bener Meriah","Maluku Utara",3,0,2,0,1,0,0,0,0,0
"1790","Kec. Gajah Putih ","Bener Meriah","Maluku Utara",11,0,2,0,1,0,2,0,8,0
"1791","Kec. Teunom ","Aceh Jaya","Maluku",0,14,1,2,0,1,0,0,0,0
"1792","Kec. Krueng Sabee ","Aceh Jaya","Maluku",21,0,8,0,3,0,2,2,8,8
"1793","Kec. Setia Bakti ","Aceh Jaya","Maluku",22,11,6,0,3,2,0,2,0,8
"1794","Kec. Sampoiniet ","Aceh Jaya","Maluku",22,0,9,0,3,0,1,1,4,4
"1795","Kec. Jaya ","Aceh Jaya","Maluku",21,4,4,1,3,1,2,0,8,0
"1796","Kec. Panga ","Aceh Jaya","Maluku",9,0,4,0,1,0,2,0,8,0
"1797","Kec. Indra Jaya ","Aceh Jaya","Maluku",14,0,1,0,1,0,0,0,0,0
"1798","Kec. Darul Hikmah ","Aceh Jaya","Maluku",6,0,1,0,1,0,0,0,0,0
"1799","Kec. Pasie Raya ","Aceh Jaya","Maluku",4,0,0,0,1,0,0,0,0,0
"1800","Kec. Manggeng ","Aceh Barat Daya","Maluku",30,0,2,0,1,0,1,1,4,4
"1801","Kec. Tangan-Tangan ","Aceh Barat Daya","Maluku",5,12,3,0,1,0,0,0,0,0
"1802","Kec. Blangpidie ","Aceh Barat Daya","Maluku",27,0,3,0,1,0,1,1,4,4
"1803","Kec. Susoh ","Aceh Barat Daya","Maluku",35,24,7,5,3,3,4,0,16,0
"1804","Kec. Kuala Batee ","Aceh Barat Daya","Maluku",27,17,6,1,1,1,2,0,8,0
"1805","Kec. Babahrot ","Aceh Barat Daya","Maluku",38,0,2,0,2,0,0,0,0,0
"1806","Kec. Lembah Sabil ","Aceh Barat Daya","Maluku",10,9,1,1,2,1,2,0,8,0
"1807","Kec. Setia ","Aceh Barat Daya","Maluku",7,0,1,0,1,0,0,0,0,0
"1808","Kec. Jeumpa ","Aceh Barat Daya","Maluku",13,0,2,0,1,0,0,0,0,0
"1809","Kec. Blangkejeren ","Gayo Lues","Maluku Utara",29,0,4,0,2,0,2,0,8,0
"1810","Kec. Kutapanjang ","Gayo Lues","Maluku Utara",13,0,2,0,1,0,2,0,8,0
"1811","Kec. Rikit Gaib ","Gayo Lues","Maluku Utara",0,11,0,5,0,1,0,0,0,0
"1812","Kec. Terangun ","Gayo Lues","Maluku Utara",12,2,4,0,1,0,0,0,0,0
"1813","Kec. Pining ","Gayo Lues","Maluku Utara",6,0,1,0,1,0,0,0,0,0
"1814","Kec. Blangjerango ","Gayo Lues","Maluku Utara",17,0,1,0,1,0,0,0,0,0
"1815","Kec. Putri Betung ","Gayo Lues","Maluku Utara",9,0,0,1,2,0,0,0,0,0
"1816","Kec. Blang Pegayon ","Gayo Lues","Maluku Utara",30,0,8,0,5,0,1,1,4,4
"1817","Kec. Pantan Cuaca ","Gayo Lues","Maluku Utara",5,0,1,0,1,0,0,0,0,0
"1818","Kec. Tripe Jaya ","Gayo Lues","Maluku Utara",0,6,0,2,0,1,0,0,0,0
"1819","Kec. Pulau Banyak ","Aceh Singkil","Maluku",9,0,1,0,1,0,0,0,0,0
"1820","Kec. Singkil ","Aceh Singkil","Maluku",19,0,3,0,1,0,0,0,0,0
"1821","Kec. Simpang Kanan ","Aceh Singkil","Maluku",17,1,3,0,1,0,0,0,0,0
"1822","Kec. Singkil Utara ","Aceh Singkil","Maluku",0,12,0,3,0,1,0,2,0,8
"1823","Kec. Gunung Mariah ","Aceh Singkil","Maluku",36,14,2,4,1,3,0,0,0,0
"1824","Kec. Danau Paris ","Aceh Singkil","Maluku",12,8,3,0,2,0,2,0,8,0
"1825","Kec. Suro Makmur ","Aceh Singkil","Maluku",14,0,3,0,1,0,0,0,0,0
"1826","Kec. Kuta Baharu ","Aceh Singkil","Maluku",9,0,3,0,2,0,0,0,0,0
"1827","Kec. Singkohor ","Aceh Singkil","Maluku",0,12,0,3,0,1,0,0,0,0
"1828","Kec. Pulau Banyak Barat ","Aceh Singkil","Maluku",6,0,2,0,1,0,0,0,0,0
"1829","Kec. Tamiang Hulu ","Aceh Tamiang","Maluku",31,0,5,0,2,0,1,1,4,4
"1830","Kec. Kejuruan Muda ","Aceh Tamiang","Maluku",76,6,5,2,7,2,4,0,16,0
"1831","Kec. Kualasimpang ","Aceh Tamiang","Maluku",5,0,1,0,1,0,1,1,4,4
"1832","Kec. Seruway ","Aceh Tamiang","Maluku",32,0,6,0,2,0,3,1,12,4
"1833","Kec. Bendahara ","Aceh Tamiang","Maluku",8,11,0,3,0,1,0,2,0,8
"1834","Kec. Karang Baru ","Aceh Tamiang","Maluku",52,0,5,0,5,0,6,0,24,0
"1835","Kec. Manyak Payed ","Aceh Tamiang","Maluku",43,0,7,1,3,1,2,2,8,8
"1836","Kec. Rantau ","Aceh Tamiang","Maluku",65,0,7,0,3,0,10,0,40,0
"1837","Kec. Banda Mulya ","Aceh Tamiang","Maluku",10,0,3,0,1,0,0,0,0,0
"1838","Kec. Bandar Pusaka ","Aceh Tamiang","Maluku",10,0,0,0,2,0,0,0,0,0
"1839","Kec. Tenggulun ","Aceh Tamiang","Maluku",24,1,5,0,2,0,0,0,0,0
"1840","Kec. Sekerak ","Aceh Tamiang","Maluku",3,0,2,0,1,0,0,0,0,0
"1841","Kec. Darul Makmur ","Nagan Raya","Maluku Utara",61,9,8,3,8,0,7,3,28,12
"1842","Kec. Kuala ","Nagan Raya","Maluku Utara",30,1,6,0,2,0,3,1,12,4
"1843","Kec. Beutong ","Nagan Raya","Maluku Utara",29,0,5,0,2,0,4,0,16,0
"1844","Kec. Seunagan ","Nagan Raya","Maluku Utara",23,12,3,3,3,0,1,4,4,16
"1845","Kec. Seunagan Timur ","Nagan Raya","Maluku Utara",8,0,3,0,1,0,0,0,0,0
"1846","Kec. Kuala Pesisir ","Nagan Raya","Maluku Utara",22,0,1,0,1,0,1,1,4,4
"1847","Kec. Tadu Raya ","Nagan Raya","Maluku Utara",13,0,5,0,2,0,0,0,0,0
"1848","Kec. Suka Makmue ","Nagan Raya","Maluku Utara",6,0,1,0,1,0,0,0,0,0
"1849","Kec. Tripa Makmur ","Nagan Raya","Maluku Utara",0,9,0,2,0,1,0,0,0,0
"1850","Kec. Teupah Selatan ","Simeulue","Maluku Utara",24,2,5,2,3,1,1,1,4,4
"1851","Kec. Simeulue Timur ","Simeulue","Maluku Utara",12,29,2,6,2,2,2,2,8,8
"1852","Kec. Simeulue Tengah ","Simeulue","Maluku Utara",9,10,2,2,2,1,2,0,8,0
"1853","Kec. Salang ","Simeulue","Maluku Utara",19,0,3,0,3,0,0,0,0,0
"1854","Kec. Simeulue Barat ","Simeulue","Maluku Utara",28,1,7,0,6,0,0,0,0,0
"1855","Kec. Teupah Barat ","Simeulue","Maluku Utara",17,3,2,2,2,1,0,0,0,0
"1856","Kec. Teluk Dalam ","Simeulue","Maluku Utara",12,0,4,0,2,0,1,1,4,4
"1857","Kec. Alafan ","Simeulue","Maluku Utara",6,5,1,4,2,0,2,0,8,0
"1858","Kec. Teupah Tengah ","Simeulue","Maluku Utara",6,0,1,0,1,0,2,0,8,0
"1859","Kec. Simeulue Cut ","Simeulue","Maluku Utara",8,0,2,0,1,0,0,0,0,0
"1860","Kec. Johan Pahlawan ","Aceh Barat","Maluku",82,18,13,4,6,3,4,4,16,16
"1861","Kec. Samatiga ","Aceh Barat","Maluku",12,0,3,0,1,0,2,0,8,0
"1862","Kec. Woyla ","Aceh Barat","Maluku",12,0,2,0,1,0,0,0,0,0
"1863","Kec. Kaway XVI ","Aceh Barat","Maluku",20,0,8,0,2,0,2,0,8,0
"1864","Kec. Sungai Mas ","Aceh Barat","Maluku",6,0,3,0,1,0,0,0,0,0
"1865","Kec. Bubon ","Aceh Barat","Maluku",7,2,2,0,1,0,0,0,0,0
"1866","Kec. Arongan Lambalek ","Aceh Barat","Maluku",12,0,3,0,1,0,0,0,0,0
"1867","Kec. Meureubo ","Aceh Barat","Maluku",25,3,4,1,3,0,0,2,0,8
"1868","Kec. Pantee Ceureumen ","Aceh Barat","Maluku",0,6,0,2,0,1,0,0,0,0
"1869","Kec. Woyla Barat ","Aceh Barat","Maluku",9,0,1,0,1,0,0,0,0,0
"1870","Kec. Woyla Timur ","Aceh Barat","Maluku",8,0,1,0,2,0,0,0,0,0
"1871","Kec. Panton Reu ","Aceh Barat","Maluku",0,6,0,4,0,2,0,2,0,8
"1872","Kec. Meureudu ","Pidie Jaya","Maluku Utara",31,11,3,3,2,1,1,2,4,8
"1873","Kec. Ulim ","Pidie Jaya","Maluku Utara",7,1,3,0,1,0,0,0,0,0
"1874","Kec. Jangka Buya ","Pidie Jaya","Maluku Utara",0,11,0,1,0,1,0,2,0,8
"1875","Kec. Bandar Dua ","Pidie Jaya","Maluku Utara",38,4,7,0,3,0,0,0,0,0
"1876","Kec. Meurah Dua ","Pidie Jaya","Maluku Utara",11,0,4,0,1,0,2,0,8,0
"1877","Kec. Bandar Baru ","Pidie Jaya","Maluku Utara",75,0,12,0,3,1,2,2,8,8
"1878","Kec. Panteraja ","Pidie Jaya","Maluku Utara",3,10,0,3,1,1,0,2,0,8
"1879","Kec. Trienggadeng ","Pidie Jaya","Maluku Utara",25,0,3,0,1,0,0,0,0,0
"1880","Kec. Sukajaya ","Sabang","Maluku Utara",25,0,5,0,2,0,1,1,4,4
"1881","Kec. Sukakarya ","Sabang","Maluku Utara",18,1,3,0,1,0,3,1,12,4
"1882","Kec. Meuraxa ","Banda Aceh","Maluku Utara",38,10,4,2,2,1,2,4,8,16
"1883","Kec. Baiturrahman ","Banda Aceh","Maluku Utara",47,5,8,3,4,1,11,3,44,12
"1884","Kec. Kuta Alam ","Banda Aceh","Maluku Utara",112,63,18,10,5,5,8,10,32,40
"1885","Kec. Syiah Kuala ","Banda Aceh","Maluku Utara",49,0,9,0,3,0,4,0,16,0
"1886","Kec. Kuta Raja ","Banda Aceh","Maluku Utara",1,15,0,3,0,2,2,2,8,8
"1887","Kec. Ulee Kareng ","Banda Aceh","Maluku Utara",10,18,0,1,0,0,0,0,0,0
"1888","Kec. Lueng Bata ","Banda Aceh","Maluku Utara",24,0,4,0,1,0,2,0,8,0
"1889","Kec. Banda Raya ","Banda Aceh","Maluku Utara",68,2,11,3,7,0,4,0,16,0
"1890","Kec. Blang Mangat ","Lhokseumawe","Maluku Utara",26,0,5,0,2,0,3,1,12,4
"1891","Kec. Muara Dua ","Lhokseumawe","Maluku Utara",38,10,4,3,2,1,2,2,8,8
"1892","Kec. Banda Sakti ","Lhokseumawe","Maluku Utara",55,45,6,4,2,2,4,2,16,8
"1893","Kec. Muara Satu ","Lhokseumawe","Maluku Utara",28,19,10,0,3,0,4,2,16,8
"1894","Kec. Langsa Timur ","Langsa",NA,8,10,3,0,1,0,0,0,0,0
"1895","Kec. Langsa Barat ","Langsa",NA,28,0,3,0,1,0,1,1,4,4
"1896","Kec. Langsa ","Langsa",NA,20,24,3,0,2,1,4,1,16,4
"1897","Kec. Langsa Baro ","Langsa",NA,61,3,7,1,3,1,6,0,24,0
"1898","Kec. Gunung Meriah ","Deli Serdang","Sumatera Barat",6,0,1,0,1,0,0,0,0,0
"1899","Kec. Sinembah Tnjng Muda Hulu ","Deli Serdang","Sumatera Barat",13,0,4,0,2,0,2,0,8,0
"1900","Kec. Sibolangit ","Deli Serdang","Sumatera Barat",32,0,6,0,3,0,3,1,12,4
"1901","Kec. KutaIimbaru ","Deli Serdang","Sumatera Barat",47,4,7,0,4,0,5,1,20,4
"1902","Kec. Pancur Batu ","Deli Serdang","Sumatera Barat",68,0,20,0,7,0,11,1,44,4
"1903","Kec. Namo Rambe ","Deli Serdang","Sumatera Barat",35,0,11,0,4,0,9,1,36,4
"1904","Kec. Sibiru-biru ","Deli Serdang","Sumatera Barat",27,0,7,0,4,0,6,0,24,0
"1905","Kec. Bangun Purba ","Deli Serdang","Sumatera Barat",19,0,7,0,2,0,2,2,8,8
"1906","Kec. Galang ","Deli Serdang","Sumatera Barat",35,0,6,0,3,0,5,1,20,4
"1907","Kec. Tanjung Morawa ","Deli Serdang","Sumatera Barat",145,10,19,1,11,2,13,1,52,4
"1908","Kec. Patumbak ","Deli Serdang","Sumatera Barat",33,0,3,0,9,0,3,1,12,4
"1909","Kec. Deli Tua ","Deli Serdang","Sumatera Barat",90,20,16,4,9,3,8,4,32,16
"1910","Kec. Sunggal ","Deli Serdang","Sumatera Barat",125,11,27,1,12,1,14,3,56,12
"1911","Kec. Hamparan Perak ","Deli Serdang","Sumatera Barat",93,4,8,0,12,0,6,2,24,8
"1912","Kec. Labuhan Deli ","Deli Serdang","Sumatera Barat",62,0,12,0,5,0,10,0,40,0
"1913","Kec. Percut Sei Tuan ","Deli Serdang","Sumatera Barat",183,11,30,6,23,2,32,4,128,16
"1914","Kec. Batang Kuis ","Deli Serdang","Sumatera Barat",41,10,12,0,3,1,6,2,24,8
"1915","Kec. Pantai Labu ","Deli Serdang","Sumatera Barat",14,7,5,0,4,1,2,0,8,0
"1916","Kec. Beringin ","Deli Serdang","Sumatera Barat",23,0,8,0,4,0,6,1,24,4
"1917","Kec. Lubuk Pakam ","Deli Serdang","Sumatera Barat",145,9,24,0,12,1,10,4,40,16
"1918","Kec. Pagar Marbau ","Deli Serdang","Sumatera Barat",0,7,0,4,0,1,0,2,0,8
"1919","Kec. Stm Hilir ","Deli Serdang","Sumatera Barat",16,10,3,0,3,0,0,0,0,0
"1920","Kec. Bilah Hulu ","Labuhan Batu",NA,39,0,5,0,3,0,6,0,24,0
"1921","Kec. Pangkatan ","Labuhan Batu",NA,24,0,3,0,2,0,0,0,0,0
"1922","Kec. Bilah Barat ","Labuhan Batu",NA,19,0,6,0,2,0,1,1,4,4
"1923","Kec. Bilah Hilir ","Labuhan Batu",NA,18,23,2,3,2,1,0,2,0,8
"1924","Kec. Panai Hulu ","Labuhan Batu",NA,39,0,4,0,2,0,3,1,12,4
"1925","Kec. Panai Tengah ","Labuhan Batu",NA,21,0,3,1,1,0,1,1,4,4
"1926","Kec. Panai Hilir ","Labuhan Batu",NA,21,7,1,0,2,2,0,0,0,0
"1927","Kec. Rantau Selatan ","Labuhan Batu",NA,59,0,8,0,4,0,4,0,16,0
"1928","Kec. Rantau Utara ","Labuhan Batu",NA,123,21,24,3,9,2,12,4,48,16
"1929","Kec. Parmonangan ","Tapanuli Utara","Sumatera Selatan",16,0,5,0,3,0,0,0,0,0
"1930","Kec. Adian Koting ","Tapanuli Utara","Sumatera Selatan",14,0,2,0,1,0,1,1,4,4
"1931","Kec. Sipoholon ","Tapanuli Utara","Sumatera Selatan",20,1,3,0,1,0,0,0,0,0
"1932","Kec. Tarutung ","Tapanuli Utara","Sumatera Selatan",96,21,13,0,6,1,2,0,8,0
"1933","Kec. Pahae Jae ","Tapanuli Utara","Sumatera Selatan",15,0,3,0,1,0,0,0,0,0
"1934","Kec. Pahae Julu ","Tapanuli Utara","Sumatera Selatan",12,0,2,0,1,0,0,0,0,0
"1935","Kec. Pangaribuan ","Tapanuli Utara","Sumatera Selatan",25,0,2,0,1,0,1,1,4,4
"1936","Kec. Garoga ","Tapanuli Utara","Sumatera Selatan",14,0,3,0,1,0,0,0,0,0
"1937","Kec. Sipahutar ","Tapanuli Utara","Sumatera Selatan",30,0,3,0,1,0,0,0,0,0
"1938","Kec. Siborongborong ","Tapanuli Utara","Sumatera Selatan",70,21,10,1,4,0,4,0,16,0
"1939","Kec. Pagaran ","Tapanuli Utara","Sumatera Selatan",27,0,4,0,2,0,0,0,0,0
"1940","Kec. Muara ","Tapanuli Utara","Sumatera Selatan",21,0,2,0,1,0,0,0,0,0
"1941","Kec. Purbatua ","Tapanuli Utara","Sumatera Selatan",6,0,1,0,1,0,0,0,0,0
"1942","Kec. Simangumban ","Tapanuli Utara","Sumatera Selatan",9,0,1,0,1,0,0,0,0,0
"1943","Kec. Sibabangun ","Tapanuli Tengah","Sumatera Selatan",19,0,1,0,1,0,1,1,4,4
"1944","Kec. Pandan ","Tapanuli Tengah","Sumatera Selatan",45,8,6,3,2,1,4,2,16,8
"1945","Kec. Kolang ","Tapanuli Tengah","Sumatera Selatan",17,0,1,0,1,0,1,1,4,4
"1946","Kec. Sorkam ","Tapanuli Tengah","Sumatera Selatan",7,0,1,0,1,0,0,0,0,0
"1947","Kec. Barus ","Tapanuli Tengah","Sumatera Selatan",29,0,3,0,4,0,0,0,0,0
"1948","Kec. Manduamas ","Tapanuli Tengah","Sumatera Selatan",12,18,0,3,2,2,0,0,0,0
"1949","Kec. Sosor Gadong ","Tapanuli Tengah","Sumatera Selatan",11,0,2,0,1,0,0,0,0,0
"1950","Kec. Sorkam Barat ","Tapanuli Tengah","Sumatera Selatan",28,0,2,0,1,0,1,1,4,4
"1951","Kec. Andam Dewi ","Tapanuli Tengah","Sumatera Selatan",17,0,1,1,1,0,0,0,0,0
