"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","UKS.RusakPerc","Perpus.RusakPerc","Toilet.RusakPerc"
"76","Kec. Sungai Serut ","Bengkulu","Bengkulu",1,1,1,1,1
"77","Kec. Maje ","Kaur","Bengkulu",1,1,1,1,1
"78","Kec. Tanjung Kemuning ","Kaur","Bengkulu",1,1,1,1,1
"79","Kec. Manna ","Bengkulu Selatan","Bengkulu",1,1,1,1,1
"80","Kec. Seginim ","Bengkulu Selatan","Bengkulu",1,1,1,1,1
"81","Kec. Bunga Mas ","Bengkulu Selatan","Bengkulu",1,1,1,1,1
"82","Kec. Gane Timur Selatan ","Halmahera Selatan","Lampung",1,1,1,1,1
"83","Kec. Mandalawangi ","Pandeglang","Banten",1,1,1,1,1
"84","Kec. Damar ","Belitung Timur","Bangka Belitung",1,1,1,1,1
"85","Kec. Marisa ","Pohuwato","DKI Jakarta",1,1,1,1,1
"86","Kec. Kundur Utara ","Karimun","Kalimantan Tengah",1,1,1,1,1
"87","Kec. Malinau Utara ","Malinau","Kalimantan Tengah",1,1,1,1,1
