"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","Perpus.RusakPerc","Toilet.Guru.L.RusakPerc","Toilet.Guru.P.RusakPerc","Toilet.Murid.L.RusakPerc","Toilet.Murid.P.RusakPerc"
"1779","Kec. Bies ","Aceh Tengah","Maluku",0,1,0,NA,NA,NA,NA
"1780","Kec. Rusip Antara ","Aceh Tengah","Maluku",0.35,0,0.25,NA,NA,NA,NA
"1781","Kec. Timang Gajah ","Bener Meriah","Maluku Utara",0,0,0,0.5,0.5,0.5,0.5
"1782","Kec. Bukit ","Bener Meriah","Maluku Utara",0,0.2,0,0,0,0,0
"1783","Kec. Bandar ","Bener Meriah","Maluku Utara",0.07,0,0,0.17,0.17,0.17,0.17
"1784","Kec. Permata ","Bener Meriah","Maluku Utara",0.07,0,0,0,0,0,0
"1785","Kec. Pintu Rime Gayo ","Bener Meriah","Maluku Utara",0,0,0,NA,NA,NA,NA
"1786","Kec. Wih Pesam ","Bener Meriah","Maluku Utara",0,0,0,0,0,0,0
"1787","Kec. Syiah Utama ","Bener Meriah","Maluku Utara",0,0,NA,NA,NA,NA,NA
"1788","Kec. Bener Kelipah ","Bener Meriah","Maluku Utara",0,NA,0,NA,NA,NA,NA
"1789","Kec. Mesidah ","Bener Meriah","Maluku Utara",0,0,0,NA,NA,NA,NA
"1790","Kec. Gajah Putih ","Bener Meriah","Maluku Utara",0,0,0,0,0,0,0
"1791","Kec. Teunom ","Aceh Jaya","Maluku",1,0.67,1,NA,NA,NA,NA
"1792","Kec. Krueng Sabee ","Aceh Jaya","Maluku",0,0,0,0.5,0.5,0.5,0.5
"1793","Kec. Setia Bakti ","Aceh Jaya","Maluku",0.33,0,0.4,1,1,1,1
"1794","Kec. Sampoiniet ","Aceh Jaya","Maluku",0,0,0,0.5,0.5,0.5,0.5
"1795","Kec. Jaya ","Aceh Jaya","Maluku",0.16,0.2,0.25,0,0,0,0
"1796","Kec. Panga ","Aceh Jaya","Maluku",0,0,0,0,0,0,0
"1797","Kec. Indra Jaya ","Aceh Jaya","Maluku",0,0,0,NA,NA,NA,NA
"1798","Kec. Darul Hikmah ","Aceh Jaya","Maluku",0,0,0,NA,NA,NA,NA
"1799","Kec. Pasie Raya ","Aceh Jaya","Maluku",0,NA,0,NA,NA,NA,NA
"1800","Kec. Manggeng ","Aceh Barat Daya","Maluku",0,0,0,0.5,0.5,0.5,0.5
"1801","Kec. Tangan-Tangan ","Aceh Barat Daya","Maluku",0.71,0,0,NA,NA,NA,NA
"1802","Kec. Blangpidie ","Aceh Barat Daya","Maluku",0,0,0,0.5,0.5,0.5,0.5
"1803","Kec. Susoh ","Aceh Barat Daya","Maluku",0.41,0.42,0.5,0,0,0,0
"1804","Kec. Kuala Batee ","Aceh Barat Daya","Maluku",0.39,0.14,0.5,0,0,0,0
"1805","Kec. Babahrot ","Aceh Barat Daya","Maluku",0,0,0,NA,NA,NA,NA
"1806","Kec. Lembah Sabil ","Aceh Barat Daya","Maluku",0.47,0.5,0.33,0,0,0,0
"1807","Kec. Setia ","Aceh Barat Daya","Maluku",0,0,0,NA,NA,NA,NA
"1808","Kec. Jeumpa ","Aceh Barat Daya","Maluku",0,0,0,NA,NA,NA,NA
"1809","Kec. Blangkejeren ","Gayo Lues","Maluku Utara",0,0,0,0,0,0,0
"1810","Kec. Kutapanjang ","Gayo Lues","Maluku Utara",0,0,0,0,0,0,0
"1811","Kec. Rikit Gaib ","Gayo Lues","Maluku Utara",1,1,1,NA,NA,NA,NA
"1812","Kec. Terangun ","Gayo Lues","Maluku Utara",0.14,0,0,NA,NA,NA,NA
"1813","Kec. Pining ","Gayo Lues","Maluku Utara",0,0,0,NA,NA,NA,NA
"1814","Kec. Blangjerango ","Gayo Lues","Maluku Utara",0,0,0,NA,NA,NA,NA
"1815","Kec. Putri Betung ","Gayo Lues","Maluku Utara",0,1,0,NA,NA,NA,NA
"1816","Kec. Blang Pegayon ","Gayo Lues","Maluku Utara",0,0,0,0.5,0.5,0.5,0.5
"1817","Kec. Pantan Cuaca ","Gayo Lues","Maluku Utara",0,0,0,NA,NA,NA,NA
"1818","Kec. Tripe Jaya ","Gayo Lues","Maluku Utara",1,1,1,NA,NA,NA,NA
"1819","Kec. Pulau Banyak ","Aceh Singkil","Maluku",0,0,0,NA,NA,NA,NA
"1820","Kec. Singkil ","Aceh Singkil","Maluku",0,0,0,NA,NA,NA,NA
"1821","Kec. Simpang Kanan ","Aceh Singkil","Maluku",0.06,0,0,NA,NA,NA,NA
"1822","Kec. Singkil Utara ","Aceh Singkil","Maluku",1,1,1,1,1,1,1
"1823","Kec. Gunung Mariah ","Aceh Singkil","Maluku",0.28,0.67,0.75,NA,NA,NA,NA
"1824","Kec. Danau Paris ","Aceh Singkil","Maluku",0.4,0,0,0,0,0,0
"1825","Kec. Suro Makmur ","Aceh Singkil","Maluku",0,0,0,NA,NA,NA,NA
"1826","Kec. Kuta Baharu ","Aceh Singkil","Maluku",0,0,0,NA,NA,NA,NA
"1827","Kec. Singkohor ","Aceh Singkil","Maluku",1,1,1,NA,NA,NA,NA
"1828","Kec. Pulau Banyak Barat ","Aceh Singkil","Maluku",0,0,0,NA,NA,NA,NA
"1829","Kec. Tamiang Hulu ","Aceh Tamiang","Maluku",0,0,0,0.5,0.5,0.5,0.5
"1830","Kec. Kejuruan Muda ","Aceh Tamiang","Maluku",0.07,0.29,0.22,0,0,0,0
"1831","Kec. Kualasimpang ","Aceh Tamiang","Maluku",0,0,0,0.5,0.5,0.5,0.5
"1832","Kec. Seruway ","Aceh Tamiang","Maluku",0,0,0,0.25,0.25,0.25,0.25
"1833","Kec. Bendahara ","Aceh Tamiang","Maluku",0.58,1,1,1,1,1,1
"1834","Kec. Karang Baru ","Aceh Tamiang","Maluku",0,0,0,0,0,0,0
"1835","Kec. Manyak Payed ","Aceh Tamiang","Maluku",0,0.12,0.25,0.5,0.5,0.5,0.5
"1836","Kec. Rantau ","Aceh Tamiang","Maluku",0,0,0,0,0,0,0
"1837","Kec. Banda Mulya ","Aceh Tamiang","Maluku",0,0,0,NA,NA,NA,NA
"1838","Kec. Bandar Pusaka ","Aceh Tamiang","Maluku",0,NA,0,NA,NA,NA,NA
"1839","Kec. Tenggulun ","Aceh Tamiang","Maluku",0.04,0,0,NA,NA,NA,NA
"1840","Kec. Sekerak ","Aceh Tamiang","Maluku",0,0,0,NA,NA,NA,NA
"1841","Kec. Darul Makmur ","Nagan Raya","Maluku Utara",0.13,0.27,0,0.3,0.3,0.3,0.3
"1842","Kec. Kuala ","Nagan Raya","Maluku Utara",0.03,0,0,0.25,0.25,0.25,0.25
"1843","Kec. Beutong ","Nagan Raya","Maluku Utara",0,0,0,0,0,0,0
"1844","Kec. Seunagan ","Nagan Raya","Maluku Utara",0.34,0.5,0,0.8,0.8,0.8,0.8
"1845","Kec. Seunagan Timur ","Nagan Raya","Maluku Utara",0,0,0,NA,NA,NA,NA
"1846","Kec. Kuala Pesisir ","Nagan Raya","Maluku Utara",0,0,0,0.5,0.5,0.5,0.5
"1847","Kec. Tadu Raya ","Nagan Raya","Maluku Utara",0,0,0,NA,NA,NA,NA
"1848","Kec. Suka Makmue ","Nagan Raya","Maluku Utara",0,0,0,NA,NA,NA,NA
"1849","Kec. Tripa Makmur ","Nagan Raya","Maluku Utara",1,1,1,NA,NA,NA,NA
"1850","Kec. Teupah Selatan ","Simeulue","Maluku Utara",0.08,0.29,0.25,0.5,0.5,0.5,0.5
"1851","Kec. Simeulue Timur ","Simeulue","Maluku Utara",0.71,0.75,0.5,0.5,0.5,0.5,0.5
"1852","Kec. Simeulue Tengah ","Simeulue","Maluku Utara",0.53,0.5,0.33,0,0,0,0
"1853","Kec. Salang ","Simeulue","Maluku Utara",0,0,0,NA,NA,NA,NA
"1854","Kec. Simeulue Barat ","Simeulue","Maluku Utara",0.03,0,0,NA,NA,NA,NA
"1855","Kec. Teupah Barat ","Simeulue","Maluku Utara",0.15,0.5,0.33,NA,NA,NA,NA
"1856","Kec. Teluk Dalam ","Simeulue","Maluku Utara",0,0,0,0.5,0.5,0.5,0.5
"1857","Kec. Alafan ","Simeulue","Maluku Utara",0.45,0.8,0,0,0,0,0
"1858","Kec. Teupah Tengah ","Simeulue","Maluku Utara",0,0,0,0,0,0,0
"1859","Kec. Simeulue Cut ","Simeulue","Maluku Utara",0,0,0,NA,NA,NA,NA
"1860","Kec. Johan Pahlawan ","Aceh Barat","Maluku",0.18,0.24,0.33,0.5,0.5,0.5,0.5
"1861","Kec. Samatiga ","Aceh Barat","Maluku",0,0,0,0,0,0,0
"1862","Kec. Woyla ","Aceh Barat","Maluku",0,0,0,NA,NA,NA,NA
"1863","Kec. Kaway XVI ","Aceh Barat","Maluku",0,0,0,0,0,0,0
"1864","Kec. Sungai Mas ","Aceh Barat","Maluku",0,0,0,NA,NA,NA,NA
"1865","Kec. Bubon ","Aceh Barat","Maluku",0.22,0,0,NA,NA,NA,NA
"1866","Kec. Arongan Lambalek ","Aceh Barat","Maluku",0,0,0,NA,NA,NA,NA
"1867","Kec. Meureubo ","Aceh Barat","Maluku",0.11,0.2,0,1,1,1,1
"1868","Kec. Pantee Ceureumen ","Aceh Barat","Maluku",1,1,1,NA,NA,NA,NA
"1869","Kec. Woyla Barat ","Aceh Barat","Maluku",0,0,0,NA,NA,NA,NA
"1870","Kec. Woyla Timur ","Aceh Barat","Maluku",0,0,0,NA,NA,NA,NA
"1871","Kec. Panton Reu ","Aceh Barat","Maluku",1,1,1,1,1,1,1
"1872","Kec. Meureudu ","Pidie Jaya","Maluku Utara",0.26,0.5,0.33,0.67,0.67,0.67,0.67
"1873","Kec. Ulim ","Pidie Jaya","Maluku Utara",0.12,0,0,NA,NA,NA,NA
"1874","Kec. Jangka Buya ","Pidie Jaya","Maluku Utara",1,1,1,1,1,1,1
"1875","Kec. Bandar Dua ","Pidie Jaya","Maluku Utara",0.1,0,0,NA,NA,NA,NA
"1876","Kec. Meurah Dua ","Pidie Jaya","Maluku Utara",0,0,0,0,0,0,0
"1877","Kec. Bandar Baru ","Pidie Jaya","Maluku Utara",0,0,0.25,0.5,0.5,0.5,0.5
"1878","Kec. Panteraja ","Pidie Jaya","Maluku Utara",0.77,1,0.5,1,1,1,1
"1879","Kec. Trienggadeng ","Pidie Jaya","Maluku Utara",0,0,0,NA,NA,NA,NA
"1880","Kec. Sukajaya ","Sabang","Maluku Utara",0,0,0,0.5,0.5,0.5,0.5
"1881","Kec. Sukakarya ","Sabang","Maluku Utara",0.05,0,0,0.25,0.25,0.25,0.25
"1882","Kec. Meuraxa ","Banda Aceh","Maluku Utara",0.21,0.33,0.33,0.67,0.67,0.67,0.67
"1883","Kec. Baiturrahman ","Banda Aceh","Maluku Utara",0.1,0.27,0.2,0.21,0.21,0.21,0.21
"1884","Kec. Kuta Alam ","Banda Aceh","Maluku Utara",0.36,0.36,0.5,0.56,0.56,0.56,0.56
"1885","Kec. Syiah Kuala ","Banda Aceh","Maluku Utara",0,0,0,0,0,0,0
"1886","Kec. Kuta Raja ","Banda Aceh","Maluku Utara",0.94,1,1,0.5,0.5,0.5,0.5
"1887","Kec. Ulee Kareng ","Banda Aceh","Maluku Utara",0.64,1,NA,NA,NA,NA,NA
"1888","Kec. Lueng Bata ","Banda Aceh","Maluku Utara",0,0,0,0,0,0,0
"1889","Kec. Banda Raya ","Banda Aceh","Maluku Utara",0.03,0.21,0,0,0,0,0
"1890","Kec. Blang Mangat ","Lhokseumawe","Maluku Utara",0,0,0,0.25,0.25,0.25,0.25
"1891","Kec. Muara Dua ","Lhokseumawe","Maluku Utara",0.21,0.43,0.33,0.5,0.5,0.5,0.5
"1892","Kec. Banda Sakti ","Lhokseumawe","Maluku Utara",0.45,0.4,0.5,0.33,0.33,0.33,0.33
"1893","Kec. Muara Satu ","Lhokseumawe","Maluku Utara",0.4,0,0,0.33,0.33,0.33,0.33
"1894","Kec. Langsa Timur ","Langsa",NA,0.56,0,0,NA,NA,NA,NA
"1895","Kec. Langsa Barat ","Langsa",NA,0,0,0,0.5,0.5,0.5,0.5
"1896","Kec. Langsa ","Langsa",NA,0.55,0,0.33,0.2,0.2,0.2,0.2
"1897","Kec. Langsa Baro ","Langsa",NA,0.05,0.12,0.25,0,0,0,0
"1898","Kec. Gunung Meriah ","Deli Serdang","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1899","Kec. Sinembah Tnjng Muda Hulu ","Deli Serdang","Sumatera Barat",0,0,0,0,0,0,0
"1900","Kec. Sibolangit ","Deli Serdang","Sumatera Barat",0,0,0,0.25,0.25,0.25,0.25
"1901","Kec. KutaIimbaru ","Deli Serdang","Sumatera Barat",0.08,0,0,0.17,0.17,0.17,0.17
"1902","Kec. Pancur Batu ","Deli Serdang","Sumatera Barat",0,0,0,0.08,0.08,0.08,0.08
"1903","Kec. Namo Rambe ","Deli Serdang","Sumatera Barat",0,0,0,0.1,0.1,0.1,0.1
"1904","Kec. Sibiru-biru ","Deli Serdang","Sumatera Barat",0,0,0,0,0,0,0
"1905","Kec. Bangun Purba ","Deli Serdang","Sumatera Barat",0,0,0,0.5,0.5,0.5,0.5
"1906","Kec. Galang ","Deli Serdang","Sumatera Barat",0,0,0,0.17,0.17,0.17,0.17
"1907","Kec. Tanjung Morawa ","Deli Serdang","Sumatera Barat",0.06,0.05,0.15,0.07,0.07,0.07,0.07
"1908","Kec. Patumbak ","Deli Serdang","Sumatera Barat",0,0,0,0.25,0.25,0.25,0.25
"1909","Kec. Deli Tua ","Deli Serdang","Sumatera Barat",0.18,0.2,0.25,0.33,0.33,0.33,0.33
"1910","Kec. Sunggal ","Deli Serdang","Sumatera Barat",0.08,0.04,0.08,0.18,0.18,0.18,0.18
"1911","Kec. Hamparan Perak ","Deli Serdang","Sumatera Barat",0.04,0,0,0.25,0.25,0.25,0.25
"1912","Kec. Labuhan Deli ","Deli Serdang","Sumatera Barat",0,0,0,0,0,0,0
"1913","Kec. Percut Sei Tuan ","Deli Serdang","Sumatera Barat",0.06,0.17,0.08,0.11,0.11,0.11,0.11
"1914","Kec. Batang Kuis ","Deli Serdang","Sumatera Barat",0.2,0,0.25,0.25,0.25,0.25,0.25
"1915","Kec. Pantai Labu ","Deli Serdang","Sumatera Barat",0.33,0,0.2,0,0,0,0
"1916","Kec. Beringin ","Deli Serdang","Sumatera Barat",0,0,0,0.14,0.14,0.14,0.14
"1917","Kec. Lubuk Pakam ","Deli Serdang","Sumatera Barat",0.06,0,0.08,0.29,0.29,0.29,0.29
"1918","Kec. Pagar Marbau ","Deli Serdang","Sumatera Barat",1,1,1,1,1,1,1
"1919","Kec. Stm Hilir ","Deli Serdang","Sumatera Barat",0.38,0,0,NA,NA,NA,NA
"1920","Kec. Bilah Hulu ","Labuhan Batu",NA,0,0,0,0,0,0,0
"1921","Kec. Pangkatan ","Labuhan Batu",NA,0,0,0,NA,NA,NA,NA
"1922","Kec. Bilah Barat ","Labuhan Batu",NA,0,0,0,0.5,0.5,0.5,0.5
"1923","Kec. Bilah Hilir ","Labuhan Batu",NA,0.56,0.6,0.33,1,1,1,1
"1924","Kec. Panai Hulu ","Labuhan Batu",NA,0,0,0,0.25,0.25,0.25,0.25
"1925","Kec. Panai Tengah ","Labuhan Batu",NA,0,0.25,0,0.5,0.5,0.5,0.5
"1926","Kec. Panai Hilir ","Labuhan Batu",NA,0.25,0,0.5,NA,NA,NA,NA
"1927","Kec. Rantau Selatan ","Labuhan Batu",NA,0,0,0,0,0,0,0
"1928","Kec. Rantau Utara ","Labuhan Batu",NA,0.15,0.11,0.18,0.25,0.25,0.25,0.25
"1929","Kec. Parmonangan ","Tapanuli Utara","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1930","Kec. Adian Koting ","Tapanuli Utara","Sumatera Selatan",0,0,0,0.5,0.5,0.5,0.5
"1931","Kec. Sipoholon ","Tapanuli Utara","Sumatera Selatan",0.05,0,0,NA,NA,NA,NA
"1932","Kec. Tarutung ","Tapanuli Utara","Sumatera Selatan",0.18,0,0.14,0,0,0,0
"1933","Kec. Pahae Jae ","Tapanuli Utara","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1934","Kec. Pahae Julu ","Tapanuli Utara","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1935","Kec. Pangaribuan ","Tapanuli Utara","Sumatera Selatan",0,0,0,0.5,0.5,0.5,0.5
"1936","Kec. Garoga ","Tapanuli Utara","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1937","Kec. Sipahutar ","Tapanuli Utara","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1938","Kec. Siborongborong ","Tapanuli Utara","Sumatera Selatan",0.23,0.09,0,0,0,0,0
"1939","Kec. Pagaran ","Tapanuli Utara","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1940","Kec. Muara ","Tapanuli Utara","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1941","Kec. Purbatua ","Tapanuli Utara","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1942","Kec. Simangumban ","Tapanuli Utara","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1943","Kec. Sibabangun ","Tapanuli Tengah","Sumatera Selatan",0,0,0,0.5,0.5,0.5,0.5
"1944","Kec. Pandan ","Tapanuli Tengah","Sumatera Selatan",0.15,0.33,0.33,0.33,0.33,0.33,0.33
"1945","Kec. Kolang ","Tapanuli Tengah","Sumatera Selatan",0,0,0,0.5,0.5,0.5,0.5
"1946","Kec. Sorkam ","Tapanuli Tengah","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1947","Kec. Barus ","Tapanuli Tengah","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1948","Kec. Manduamas ","Tapanuli Tengah","Sumatera Selatan",0.6,1,0.5,NA,NA,NA,NA
"1949","Kec. Sosor Gadong ","Tapanuli Tengah","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1950","Kec. Sorkam Barat ","Tapanuli Tengah","Sumatera Selatan",0,0,0,0.5,0.5,0.5,0.5
"1951","Kec. Andam Dewi ","Tapanuli Tengah","Sumatera Selatan",0,0.5,0,NA,NA,NA,NA
"1952","Kec. Badiri ","Tapanuli Tengah","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1953","Kec. Sitahuis ","Tapanuli Tengah","Sumatera Selatan",1,0.5,0,NA,NA,NA,NA
"1954","Kec. Sirandorung ","Tapanuli Tengah","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1955","Kec. Tukka ","Tapanuli Tengah","Sumatera Selatan",0.24,0.4,0.5,NA,NA,NA,NA
"1956","Kec. Pinang Sori ","Tapanuli Tengah","Sumatera Selatan",0,0,0,0,0,0,0
"1957","Kec. Sarudik ","Tapanuli Tengah","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1958","Kec. Pasaribu Tobing ","Tapanuli Tengah","Sumatera Selatan",0.89,0.5,1,NA,NA,NA,NA
"1959","Kec. Salak ","Pakpak Bharat","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1960","Kec. Kerajaan ","Pakpak Bharat","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1961","Kec. Sitelutali Urang Jehe ","Pakpak Bharat","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1962","Kec. Tinada ","Pakpak Bharat","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1963","Kec. Sitelu Tali Urang Julu ","Pakpak Bharat","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1964","Kec. Pakkat ","Humbang Hasudutan",NA,0.36,0.5,0.5,NA,NA,NA,NA
"1965","Kec. Onan Ganjang ","Humbang Hasudutan",NA,0,0,0,0.5,0.5,0.5,0.5
"1966","Kec. Lintong Nihuta ","Humbang Hasudutan",NA,0.17,0,0,NA,NA,NA,NA
"1967","Kec. Dolok Sanggul ","Humbang Hasudutan",NA,0,0,0,0.5,0.5,0.5,0.5
"1968","Kec. Parlilitan ","Humbang Hasudutan",NA,0,0,0,NA,NA,NA,NA
"1969","Kec. Pollung ","Humbang Hasudutan",NA,0,0,0,0,0,0,0
"1970","Kec. Paranginan ","Humbang Hasudutan",NA,1,1,1,NA,NA,NA,NA
"1971","Kec. Bakti Raja ","Humbang Hasudutan",NA,0,0,0,NA,NA,NA,NA
"1972","Kec. Sijamapolang ","Humbang Hasudutan",NA,0,0,0,NA,NA,NA,NA
"1973","Kec. Tarabintang ","Humbang Hasudutan",NA,0,0,0,NA,NA,NA,NA
"1974","Kec. Mardingding ","Karo","Sumatera Barat",0.08,0,0,0.25,0.25,0.25,0.25
"1975","Kec. Laubaleng ","Karo","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1976","Kec. Tigabinanga ","Karo","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1977","Kec. Juhar ","Karo","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1978","Kec. Munte ","Karo","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1979","Kec. Kutabuluh ","Karo","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1980","Kec. Simpangempat ","Karo","Sumatera Barat",0,0,0,0,0,0,0
"1981","Kec. ","Karo","Sumatera Barat",0,0,0,0,0,0,0
"1982","Kec. Berastagi ","Karo","Sumatera Barat",0.48,0.57,0.5,0.33,0.33,0.33,0.33
"1983","Kec. Tigapanah ","Karo","Sumatera Barat",0,0,0,0,0,0,0
"1984","Kec. Merek ","Karo","Sumatera Barat",1,0,0,0.5,0.5,0.5,0.5
"1985","Kec. Barusjahe ","Karo","Sumatera Barat",1,1,1,1,1,1,1
"1986","Kec. Tiganderket ","Karo","Sumatera Barat",0,0,0,NA,NA,NA,NA
"1987","Kec. Silimakuta ","Simalungun","Sumatera Selatan",0.51,0.43,0.67,1,1,1,1
"1988","Kec. Purba ","Simalungun","Sumatera Selatan",0,1,0,NA,NA,NA,NA
"1989","Kec. Dolok Pardamean ","Simalungun","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1990","Kec. Sidamanik ","Simalungun","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1991","Kec. Girsang Simpangan Bolon ","Simalungun","Sumatera Selatan",0.03,0,0.5,NA,NA,NA,NA
"1992","Kec. Tanah Jawa ","Simalungun","Sumatera Selatan",0,0,0,0.1,0.1,0.1,0.1
"1993","Kec. Dolok Panribuan ","Simalungun","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1994","Kec. Panei ","Simalungun","Sumatera Selatan",0,NA,0,NA,NA,NA,NA
"1995","Kec. Raya ","Simalungun","Sumatera Selatan",0,0.33,0,0.12,0.12,0.12,0.12
"1996","Kec. Dolok Silau ","Simalungun","Sumatera Selatan",0,NA,0,NA,NA,NA,NA
"1997","Kec. Silau Kahean ","Simalungun","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1998","Kec. Raya Kahean ","Simalungun","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"1999","Kec. Tapian Dolok ","Simalungun","Sumatera Selatan",0,0,0,0.5,0.5,0.5,0.5
"2000","Kec. Dolok Batu Nanggar ","Simalungun","Sumatera Selatan",0.02,0.12,0,0.5,0.5,0.5,0.5
"2001","Kec. Siantar ","Simalungun","Sumatera Selatan",0,0,0,0.25,0.25,0.25,0.25
"2002","Kec. Hutabayu Raja ","Simalungun","Sumatera Selatan",0,0,0,0.25,0.25,0.25,0.25
"2003","Kec. Pematang Bandar ","Simalungun","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"2004","Kec. Bandar ","Simalungun","Sumatera Selatan",0,0,0,0,0,0,0
"2005","Kec. Bosar Maligas ","Simalungun","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"2006","Kec. Ujung Padang ","Simalungun","Sumatera Selatan",0,0,0,NA,NA,NA,NA
"2007","Kec. Panombeian Panei ","Simalungun","Sumatera Selatan",0.18,0,0,0,0,0,0
"2008","Kec. Gunung Malela ","Simalungun","Sumatera Selatan",0,0,0,0.25,0.25,0.25,0.25
"2009","Kec. Bandar Huluan ","Simalungun","Sumatera Selatan",0,NA,0,NA,NA,NA,NA
"2010","Kec. Jawa Maraja Bah Jambi ","Simalungun","Sumatera Selatan",0,0,0,0,0,0,0
"2011","Kec. Idanogawo ","Nias","Sumatera Barat",0,0,0,NA,NA,NA,NA
"2012","Kec. Gido ","Nias","Sumatera Barat",0.36,0.14,0,0,0,0,0
"2013","Kec. Hiliduho ","Nias","Sumatera Barat",0,0,0,NA,NA,NA,NA
"2014","Kec. Bawolato ","Nias","Sumatera Barat",0,0,0,NA,NA,NA,NA
"2015","Kec. Ulugawo ","Nias","Sumatera Barat",0.71,NA,0.33,NA,NA,NA,NA
"2016","Kec. Mau ","Nias","Sumatera Barat",0,0,0,NA,NA,NA,NA
"2017","Kec. Hiliserangkai ","Nias","Sumatera Barat",NA,NA,NA,NA,NA,NA,NA
"2018","Kec. Botomuzoi ","Nias","Sumatera Barat",0,0,0,NA,NA,NA,NA
"2019","Kec. Medang Deras ","Batubara",NA,0,0,0,0,0,0,0
"2020","Kec. Air Putih ","Batubara",NA,0,0,0,0,0,0,0
"2021","Kec. Lima Puluh ","Batubara",NA,0,0.4,0,0.5,0.5,0.5,0.5
"2022","Kec. Sei Balai ","Batubara",NA,0.32,0.44,0.33,0.38,0.38,0.38,0.38
"2023","Kec. Sei Suka ","Batubara",NA,0,0,0,0.17,0.17,0.17,0.17
"2024","Kec. Talawi ","Batubara",NA,0,0,0,0,0,0,0
"2025","Kec. Tanjung Tiram ","Batubara",NA,0,0,0,0.25,0.25,0.25,0.25
"2026","Kec. Padang Bolak Julu ","Padang Lawas utara",NA,0,0,0,0,0,0,0
"2027","Kec. Padang Bolak ","Padang Lawas utara",NA,0,0,0,NA,NA,NA,NA
"2028","Kec. Halongonan ","Padang Lawas utara",NA,0,0,0,NA,NA,NA,NA
"2029","Kec. Dolok Sigompulon ","Padang Lawas utara",NA,0,0,0,NA,NA,NA,NA
"2030","Kec. Portibi ","Padang Lawas utara",NA,0,0,0,NA,NA,NA,NA
"2031","Kec. Simangambat ","Padang Lawas utara",NA,0,0,0,0.5,0.5,0.5,0.5
"2032","Kec. Batang Onang ","Padang Lawas utara",NA,0,0,0,NA,NA,NA,NA
"2033","Kec. Dolok ","Padang Lawas utara",NA,0.06,0,0,NA,NA,NA,NA
"2034","Kec. Sidikalang ","Dairi","Sulawesi Utara",0.52,0.57,0.5,0.5,0.5,0.5,0.5
"2035","Kec. Parbuluan ","Dairi","Sulawesi Utara",0,0,0,NA,NA,NA,NA
"2036","Kec. Sumbul ","Dairi","Sulawesi Utara",0.11,0,0.2,NA,NA,NA,NA
"2037","Kec. Pegangan Hilir ","Dairi","Sulawesi Utara",0.95,1,0.5,NA,NA,NA,NA
"2038","Kec. Siempat Nempu Hulu ","Dairi","Sulawesi Utara",0.38,0,0,NA,NA,NA,NA
"2039","Kec. Siempat Nempu ","Dairi","Sulawesi Utara",0,0,0,0,0,0,0
"2040","Kec. Silima Pungga-Pungga ","Dairi","Sulawesi Utara",0,0,0,NA,NA,NA,NA
"2041","Kec. Siempat Nempu Hilir ","Dairi","Sulawesi Utara",0,0,0,NA,NA,NA,NA
"2042","Kec. Tigalingga ","Dairi","Sulawesi Utara",0.11,0,0.33,NA,NA,NA,NA
"2043","Kec. Tanah Pinem ","Dairi","Sulawesi Utara",0,0,0,NA,NA,NA,NA
"2044","Kec. Lae Parira ","Dairi","Sulawesi Utara",0,0,0,NA,NA,NA,NA
"2045","Kec. Sitinjo ","Dairi","Sulawesi Utara",NA,NA,NA,NA,NA,NA,NA
"2046","Kec. Silahi Sabungan ","Dairi","Sulawesi Utara",0,0,0,NA,NA,NA,NA
