"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","Perpus.RusakPerc","Toilet.Guru.L.RusakPerc","Toilet.Guru.P.RusakPerc","Toilet.Murid.L.RusakPerc","Toilet.Murid.P.RusakPerc"
"54","Kec. Cimalaka ","Sumedang","Jawa Barat",0.51,0.5,0.5,0.75,0.75,0.75,0.75
"55","Kec. Tanjungkerta ","Sumedang","Jawa Barat",0,0,1,0.5,0.5,0.5,0.5
"56","Kec. Pamulihan ","Sumedang","Jawa Barat",NA,NA,NA,NA,NA,NA,NA
"57","Kec. Jatinunggal ","Sumedang","Jawa Barat",0,0.38,0.5,0,0,0,0
"58","Kec. Bantarujeg ","Majalengka","Jawa Barat",0.05,0,0,0,0,0,0
"59","Kec. Cikijing ","Majalengka","Jawa Barat",0.27,0.25,0.5,0.75,0.75,0.75,0.75
"60","Kec. Talaga ","Majalengka","Jawa Barat",0,0,0,0,0,0,0
"61","Kec. Maja ","Majalengka","Jawa Barat",0.35,0.67,0,NA,NA,NA,NA
"62","Kec. Majalengka ","Majalengka","Jawa Barat",0.22,0.3,0.33,0.5,0.5,0.5,0.5
"63","Kec. Sukahaji ","Majalengka","Jawa Barat",0,0.33,0,0,0,0,0
"64","Kec. Rajagaluh ","Majalengka","Jawa Barat",0.21,0.17,0.25,0.17,0.17,0.17,0.17
"65","Kec. Sindangwangi ","Majalengka","Jawa Barat",0.21,0.5,0,0,0,0,0
"66","Kec. Leuwimunding ","Majalengka","Jawa Barat",0.46,1,1,0,0,0,0
"67","Kec. Palasah ","Majalengka","Jawa Barat",0,0,0,0,0,0,0
"68","Kec. Jatiwangi ","Majalengka","Jawa Barat",0,0,0,0,0,0,0
"69","Kec. Dawuan ","Majalengka","Jawa Barat",NA,NA,NA,NA,NA,NA,NA
"70","Kec. Kadipaten ","Majalengka","Jawa Barat",0,0,0,0,0,0,0
"71","Kec. Jatitujuh ","Majalengka","Jawa Barat",0.11,0,0,NA,NA,NA,NA
"72","Kec. Ligung ","Majalengka","Jawa Barat",0,0,0,0,0,0,0
"73","Kec. Sumberjaya ","Majalengka","Jawa Barat",0,0,0,0,0,0,0
"74","Kec. Sindang ","Majalengka","Jawa Barat",0,0,0,0,0,0,0
"75","Kec. Kasokandel ","Majalengka","Jawa Barat",0,0,0,0,0,0,0
"76","Kec. Waled ","Cirebon","Jambi",0,0,0,0,0,0,0
"77","Kec. Ciledug ","Cirebon","Jambi",0,0,0,0,0,0,0
"78","Kec. Losari ","Cirebon","Jambi",0,0,0,0.12,0.12,0.12,0.12
"79","Kec. Babakan ","Cirebon","Jambi",0.3,0.75,0.5,0.25,0.25,0.25,0.25
"80","Kec. Karang Sembung ","Cirebon","Jambi",0,NA,0,NA,NA,NA,NA
"81","Kec. Lemah Abang ","Cirebon","Jambi",0.06,0,0,0,0,0,0
"82","Kec. Astana Japura ","Cirebon","Jambi",0,0,0,NA,NA,NA,NA
"83","Kec. Beber ","Cirebon","Jambi",0.46,0.5,0.33,0.25,0.25,0.25,0.25
"84","Kec. Sumber ","Cirebon","Jambi",0.21,0.17,0.5,0,0,0,0
"85","Kec. Palimanan ","Cirebon","Jambi",0.75,0.8,0.5,0.5,0.5,0.5,0.5
"86","Kec. Plumbon ","Cirebon","Jambi",0,0,0,0.5,0.5,0.5,0.5
